game_number,game_date,opponent_team_display_name,team_home_away,team_score,opponent_team_score,team_winner,point_diff,phase,phase_num,is_playoffs,cumulative_record,off_efg_pct,off_ft_rate,off_tov_pct,off_oreb_pct,def_efg_pct,def_ft_rate,def_tov_pct,def_oreb_pct,ortg,drtg,net_rtg,pace,ts_pct,fg3_rate,fg3_pct,ft_pct,ast_rate,ast_tov_ratio,pct_pts_paint,pct_pts_3pt,pct_pts_ft,pts_paint,pts_3pt,pts_ft,win
1,2025-05-17,New York Liberty,away,78,92,False,-14,Phase 1: Rocky Start,1,False,0-1,0.40853658536585363,0.15853658536585366,0.11665888940737285,0.24489795918367346,0.5138888888888888,0.2916666666666667,0.07385524372230429,0.17142857142857143,90.99393373775082,113.24470704086657,-22.25077330311575,83.47999999999999,0.44459644322845415,0.3902439024390244,0.34375,0.8461538461538461,0.6428571428571429,1.8,0.41025641025641024,0.4230769230769231,0.14102564102564102,32,33,11,0
2,2025-05-20,Connecticut Sun,away,87,62,True,25,Phase 1: Rocky Start,1,False,1-1,0.4626865671641791,0.44776119402985076,0.1388888888888889,0.3076923076923077,0.3671875,0.265625,0.19880715705765406,0.19444444444444445,109.84848484848484,77.03777335984095,32.81071148864389,79.84,0.5423940149625935,0.3880597014925373,0.38461538461538464,0.8333333333333334,0.6153846153846154,1.4545454545454546,0.3218390804597701,0.3448275862068966,0.28735632183908044,28,30,25,1
3,2025-05-23,Washington Mystics,home,75,72,True,3,Phase 1: Rocky Start,1,False,2-1,0.4057971014492754,0.2898550724637681,0.10152284263959391,0.1891891891891892,0.48333333333333334,0.2833333333333333,0.1961297071129707,0.1935483870967742,95.17766497461929,94.14225941422593,1.0354055603933574,77.64,0.48200514138817485,0.4782608695652174,0.24242424242424243,0.95,0.625,1.875,0.32,0.32,0.25333333333333335,24,24,19,1
4,2025-05-25,Seattle Storm,away,82,102,False,-20,Phase 1: Rocky Start,1,False,2-2,0.5075757575757576,0.30303030303030304,0.1466992665036675,0.14705882352941177,0.6571428571428571,0.17142857142857143,0.13533464566929135,0.2,100.24449877750612,125.49212598425197,-25.247627206745847,81.53999999999999,0.5481283422459893,0.3787878787878788,0.36,0.75,0.6551724137931034,1.5833333333333333,0.4634146341463415,0.32926829268292684,0.18292682926829268,38,27,15,0
5,2025-05-30,Los Angeles Sparks,home,96,81,True,15,Phase 1: Rocky Start,1,False,3-2,0.5428571428571428,0.32857142857142857,0.11887779362815025,0.17647058823529413,0.5227272727272727,0.2878787878787879,0.2185526954832443,0.29411764705882354,114.12268188302423,98.34871296745993,15.773968915564296,83.24000000000001,0.5991013479780329,0.35714285714285715,0.48,0.8695652173913043,0.6875,2.2,0.3333333333333333,0.375,0.20833333333333334,32,36,20,1
6,2025-06-01,Seattle Storm,away,75,70,True,5,Phase 1: Rocky Start,1,False,4-2,0.5,0.21875,0.18948964123294593,0.1875,0.49230769230769234,0.1076923076923077,0.2343364578194376,0.1935483870967742,94.74482061647296,86.3344844597928,8.41033615668016,80.12,0.5344925883694414,0.390625,0.4,0.7857142857142857,0.6296296296296297,1.1333333333333333,0.32,0.4,0.14666666666666667,24,30,11,1
7,2025-06-07,Golden State Valkyries,away,68,95,False,-27,Phase 1: Rocky Start,1,False,4-3,0.4032258064516129,0.4032258064516129,0.16455696202531644,0.17073170731707318,0.5492957746478874,0.2535211267605634,0.146484375,0.2727272727272727,86.07594936708861,115.966796875,-29.89084750791139,80.46000000000001,0.4657534246575342,0.4032258064516129,0.24,0.72,0.5,0.8461538461538461,0.38235294117647056,0.2647058823529412,0.2647058823529412,26,18,18,0
8,2025-06-11,Los Angeles Sparks,home,89,97,False,-8,Phase 1: Rocky Start,1,False,4-4,0.4375,0.4027777777777778,0.10618216139688531,0.20930232558139536,0.646551724137931,0.46551724137931033,0.185459940652819,0.17391304347826086,105.0023596035866,119.93076162215628,-14.928402018569685,82.82,0.525011798017933,0.4861111111111111,0.2571428571428571,0.896551724137931,0.4444444444444444,1.3333333333333333,0.3595505617977528,0.30337078651685395,0.29213483146067415,32,27,26,0
9,2025-06-13,Dallas Wings,home,88,84,True,4,Phase 1: Rocky Start,1,False,5-4,0.5,0.45161290322580644,0.2186588921282799,0.3225806451612903,0.5285714285714286,0.15714285714285714,0.18328445747800587,0.23529411764705882,106.89990281827018,102.63929618768329,4.260606630586892,82.08,0.5920344456404737,0.46774193548387094,0.3448275862068966,0.9285714285714286,0.5769230769230769,0.8333333333333334,0.3409090909090909,0.3409090909090909,0.29545454545454547,30,30,26,1
10,2025-06-15,Phoenix Mercury,home,70,76,False,-6,Phase 1: Rocky Start,1,False,5-5,0.4296875,0.25,0.24038461538461536,0.3333333333333333,0.4452054794520548,0.1643835616438356,0.15731515469323545,0.34146341463414637,88.56275303643724,99.63293130571577,-11.070178269278529,77.66,0.4926801801801801,0.4375,0.32142857142857145,0.9375,0.6086956521739131,0.7368421052631579,0.2857142857142857,0.38571428571428573,0.21428571428571427,20,27,15,0
11,2025-06-17,Minnesota Lynx,away,62,76,False,-14,Phase 1: Rocky Start,1,False,5-6,0.4296875,0.140625,0.22089397089397092,0.23529411764705882,0.4144736842105263,0.2236842105263158,0.10325245224574083,0.35,80.56133056133056,98.08982963345379,-17.528499072123225,77.22,0.4561506768687464,0.375,0.375,0.7777777777777778,0.782608695652174,1.0588235294117647,0.3548387096774194,0.43548387096774194,0.11290322580645161,22,27,7,0
12,2025-06-20,Seattle Storm,home,83,90,False,-7,Phase 1: Rocky Start,1,False,5-7,0.5655737704918032,0.3442622950819672,0.17893660531697342,0.1875,0.5422535211267606,0.22535211267605634,0.11835875854813255,0.3142857142857143,106.08384458077711,118.35875854813256,-12.274913967355445,77.14,0.5908314350797267,0.3114754098360656,0.5789473684210527,0.6666666666666666,0.6896551724137931,1.4285714285714286,0.3373493975903614,0.39759036144578314,0.1686746987951807,28,33,14,0
13,2025-06-22,Indiana Fever,home,89,81,True,8,Phase 1: Rocky Start,1,False,6-7,0.49295774647887325,0.29577464788732394,0.15251055842327546,0.25,0.5285714285714286,0.12857142857142856,0.19762845849802374,0.28125,104.41107461285782,100.04940711462451,4.361667498233302,83.1,0.5545862412761715,0.28169014084507044,0.3,0.9047619047619048,0.59375,1.4615384615384615,0.449438202247191,0.20224719101123595,0.21348314606741572,40,18,19,1
14,2025-06-25,Connecticut Sun,home,85,59,True,26,Phase 1: Rocky Start,1,False,7-7,0.5071428571428571,0.22857142857142856,0.18283764017552412,0.30303030303030304,0.3380281690140845,0.16901408450704225,0.14763779527559054,0.16666666666666666,103.60799609946368,72.58858267716536,31.019413422298314,81.66,0.5516614745586708,0.4,0.39285714285714285,0.875,0.6,1.2,0.3764705882352941,0.38823529411764707,0.16470588235294117,32,33,14,1
15,2025-06-26,Washington Mystics,home,83,94,False,-11,Phase 1: Rocky Start,1,False,7-8,0.5454545454545454,0.18181818181818182,0.10351966873706003,0.07407407407407407,0.5285714285714286,0.35714285714285715,0.1,0.2647058823529412,107.4016563146998,117.5,-10.098343685300193,78.64,0.5822109988776656,0.3484848484848485,0.2608695652173913,0.9166666666666666,0.6363636363636364,2.625,0.43373493975903615,0.21686746987951808,0.13253012048192772,36,18,11,0
16,2025-06-29,Phoenix Mercury,away,84,81,True,3,Phase 1: Rocky Start,1,False,8-8,0.5083333333333333,0.43333333333333335,0.1529831718510964,0.17857142857142858,0.4507042253521127,0.29577464788732394,0.13881877839475013,0.27906976744186046,107.08822029576748,102.221100454316,4.867119841451483,78.84,0.5879059350503919,0.4,0.375,0.8846153846153846,0.7692307692307693,1.6666666666666667,0.3333333333333333,0.32142857142857145,0.27380952380952384,28,27,23,1
17,2025-07-03,Indiana Fever,away,54,81,False,-27,Phase 1: Rocky Start,1,False,8-9,0.28688524590163933,0.36065573770491804,0.21335341365461846,0.22857142857142856,0.5317460317460317,0.2698412698412698,0.16556291390728475,0.35714285714285715,67.7710843373494,111.75496688741721,-43.98388255006782,76.08000000000001,0.3820033955857385,0.26229508196721313,0.1875,0.8636363636363636,0.75,0.7058823529411765,0.37037037037037035,0.16666666666666666,0.35185185185185186,20,9,19,0
18,2025-07-06,Connecticut Sun,away,86,68,True,18,Phase 1: Rocky Start,1,False,9-9,0.6111111111111112,0.20634920634920634,0.184891706286318,0.25,0.42063492063492064,0.30158730158730157,0.17641129032258066,0.17647058823529413,113.57633386159536,85.68548387096774,27.890849990627615,77.53999999999999,0.6257275902211874,0.4126984126984127,0.34615384615384615,0.6923076923076923,0.6176470588235294,1.5,0.5116279069767442,0.313953488372093,0.10465116279069768,44,27,9,1
19,2025-07-08,New York Liberty,away,78,87,False,-9,Phase 1: Rocky Start,1,False,9-10,0.4672131147540984,0.39344262295081966,0.19860973187686196,0.21875,0.4785714285714286,0.37142857142857144,0.11051080550098231,0.2647058823529412,96.8222442899702,106.82711198428292,-10.004867694312722,81.0,0.5449972051425377,0.4262295081967213,0.2692307692307692,0.875,0.52,0.8125,0.41025641025641024,0.2692307692307692,0.2692307692307692,32,21,21,0
20,2025-07-10,Washington Mystics,away,68,70,False,-2,Phase 1: Rocky Start,1,False,9-11,0.4014084507042254,0.19718309859154928,0.13553474618038444,0.19444444444444445,0.45161290322580644,0.27419354838709675,0.20130850528434827,0.2,83.78511582060129,88.07247106190236,-4.287355241301071,80.32,0.44064282011404876,0.352112676056338,0.12,0.7857142857142857,0.4444444444444444,1.0909090909090908,0.5588235294117647,0.1323529411764706,0.16176470588235295,38,9,11,0
21,2025-07-12,Golden State Valkyries,home,104,102,True,2,Phase 1: Rocky Start,1,False,10-11,0.5967741935483871,0.5645161290322581,0.11479591836734693,0.2962962962962963,0.6029411764705882,0.35294117647058826,0.1256913021618904,0.2903225806451613,132.6530612244898,128.2051282051282,4.447933019361585,78.98,0.6718346253229973,0.3387096774193548,0.2857142857142857,0.8571428571428571,0.6176470588235294,2.3333333333333335,0.46153846153846156,0.17307692307692307,0.28846153846153844,48,18,30,1
22,2025-07-16,Dallas Wings,away,90,86,True,4,Phase 1: Rocky Start,1,False,11-11,0.5140845070422535,0.36619718309859156,0.17353077279037482,0.2682926829268293,0.4588235294117647,0.12941176470588237,0.11977351916376307,0.23684210526315788,104.1184636742249,93.64111498257839,10.477348691646512,89.14,0.5458515283842795,0.2112676056338028,0.3333333333333333,0.6538461538461539,0.6764705882352942,1.5333333333333334,0.4888888888888889,0.16666666666666666,0.18888888888888888,44,15,17,1
23,2025-07-22,Atlanta Dream,home,87,72,True,15,Phase 1: Rocky Start,1,False,12-11,0.4927536231884058,0.30434782608695654,0.13057929724596393,0.16666666666666666,0.45384615384615384,0.26153846153846155,0.22227421619092183,0.17142857142857143,103.27635327635328,84.23022929340196,19.046123982951315,84.86,0.5559815950920246,0.2898550724637681,0.3,0.9047619047619048,0.6451612903225806,1.8181818181818181,0.3218390804597701,0.20689655172413793,0.21839080459770116,28,18,19,1
24,2025-07-24,Indiana Fever,away,70,80,False,-10,Phase 1: Rocky Start,1,False,12-12,0.417910447761194,0.2537313432835821,0.17614494212380472,0.2571428571428571,0.4859154929577465,0.19718309859154928,0.16217564870259482,0.2631578947368421,88.07247106190236,99.80039920159682,-11.727928139694455,79.82,0.4699248120300752,0.22388059701492538,0.13333333333333333,0.8235294117647058,0.4444444444444444,0.8571428571428571,0.5428571428571428,0.08571428571428572,0.2,38,6,14,0
25,2025-07-25,Minnesota Lynx,away,78,109,False,-31,Phase 1: Rocky Start,1,False,12-13,0.43661971830985913,0.323943661971831,0.07780082987551867,0.21739130434782608,0.6176470588235294,0.5588235294117647,0.12088974854932302,0.375,101.14107883817427,131.7698259187621,-30.628747080587843,79.92,0.4807692307692307,0.36619718309859156,0.3076923076923077,0.6956521739130435,0.5555555555555556,2.5,0.38461538461538464,0.3076923076923077,0.20512820512820512,30,24,16,0
26,2025-07-27,Dallas Wings,away,106,80,True,26,Phase 1: Rocky Start,1,False,13-13,0.5878378378378378,0.32432432432432434,0.11967448539971277,0.3142857142857143,0.4050632911392405,0.26582278481012656,0.1290473955889254,0.35,126.85495452369555,93.85265133740029,33.002303186295265,84.4,0.6267738883632923,0.4864864864864865,0.4166666666666667,0.7916666666666666,0.8333333333333334,3.0,0.32075471698113206,0.42452830188679247,0.1792452830188679,34,45,19,1
27,2025-07-29,Los Angeles Sparks,away,89,74,True,15,Phase 1: Rocky Start,1,False,14-13,0.5192307692307693,0.10256410256410256,0.15753756665050897,0.3157894736842105,0.4057971014492754,0.2753623188405797,0.21502942507922138,0.25,107.85264178381,83.74830239927569,24.104339384534313,85.44,0.5458783120706575,0.41025641025641024,0.28125,1.0,0.6944444444444444,1.9230769230769231,0.4943820224719101,0.30337078651685395,0.0898876404494382,44,27,8,1
28,2025-08-02,Minnesota Lynx,home,58,111,False,-53,Phase 1: Rocky Start,1,False,14-14,0.40298507462686567,0.11940298507462686,0.18400392541707558,0.10256410256410256,0.7112676056338029,0.19718309859154928,0.12960082944530846,0.35714285714285715,71.14818449460255,143.8569206842924,-72.70873618968984,79.34,0.4112308564946115,0.3880597014925373,0.3076923076923077,0.5,0.782608695652174,1.2,0.4827586206896552,0.41379310344827586,0.06896551724137931,28,24,4,0
29,2025-08-03,Golden State Valkyries,home,101,77,True,24,Phase 2: Winning Streak,2,False,15-14,0.5789473684210527,0.21052631578947367,0.1874062968515742,0.45,0.410958904109589,0.2465753424657534,0.13528138528138528,0.37777777777777777,126.18690654672662,104.16666666666667,22.020239880059947,76.98,0.6081406551059729,0.5263157894736842,0.45,0.8125,0.6857142857142857,1.6,0.27722772277227725,0.5346534653465347,0.12871287128712872,28,54,13,1
30,2025-08-06,Golden State Valkyries,away,78,72,True,6,Phase 2: Winning Streak,2,False,16-14,0.49166666666666664,0.4166666666666667,0.17333333333333334,0.2903225806451613,0.42857142857142855,0.30158730158730157,0.17250530785562632,0.2903225806451613,104.0,95.54140127388536,8.458598726114644,75.18,0.5492957746478874,0.45,0.18518518518518517,0.76,0.5555555555555556,1.1538461538461537,0.41025641025641024,0.19230769230769232,0.24358974358974358,32,15,19,1
31,2025-08-08,Seattle Storm,home,90,86,True,4,Phase 2: Winning Streak,2,False,17-14,0.5217391304347826,0.3333333333333333,0.14977533699450823,0.3055555555555556,0.5223880597014925,0.31343283582089554,0.08833922261484099,0.12903225806451613,112.33150274588117,108.53104492680465,3.800457819076513,79.68,0.5687563195146612,0.3188405797101449,0.45454545454545453,0.782608695652174,0.6451612903225806,1.6666666666666667,0.37777777777777777,0.3333333333333333,0.2,34,30,18,1
32,2025-08-10,Connecticut Sun,home,94,86,True,8,Phase 2: Winning Streak,2,False,18-14,0.5492957746478874,0.29577464788732394,0.1780626780626781,0.3548387096774194,0.6,0.02857142857142857,0.15022533800701052,0.09375,111.58594491927826,107.66149223835755,3.9244526809207088,82.06,0.5857427716849452,0.352112676056338,0.32,0.7619047619047619,0.6857142857142857,1.6,0.44680851063829785,0.2553191489361702,0.1702127659574468,42,24,16,1
33,2025-08-13,New York Liberty,home,83,77,True,6,Phase 2: Winning Streak,2,False,19-14,0.46153846153846156,0.4307692307692308,0.1363884342607747,0.3684210526315789,0.4921875,0.25,0.144660704892162,0.1935483870967742,113.20240043644301,101.26249342451341,11.939907011929606,74.68,0.5367304707708226,0.4461538461538462,0.3448275862068966,0.8214285714285714,0.6,1.5,0.24096385542168675,0.3614457831325301,0.27710843373493976,20,30,23,1
34,2025-08-15,Phoenix Mercury,away,86,83,True,3,Phase 2: Winning Streak,2,False,20-14,0.48484848484848486,0.3939393939393939,0.14390371533228677,0.34285714285714286,0.5294117647058824,0.20588235294117646,0.15159171298635676,0.20588235294117646,112.50654107796964,104.85093481556342,7.6556062624062235,77.8,0.5552685950413223,0.2727272727272727,0.2222222222222222,0.8461538461538461,0.7,1.9090909090909092,0.3953488372093023,0.13953488372093023,0.2558139534883721,34,12,22,1
35,2025-08-17,Dallas Wings,home,106,87,True,19,Phase 2: Winning Streak,2,False,21-14,0.6323529411764706,0.3382352941176471,0.0974184120798831,0.12121212121212122,0.5064102564102564,0.11538461538461539,0.13959981386691486,0.25,129.0793960058451,101.20986505351325,27.869530952331843,84.03999999999999,0.6784434203789043,0.5,0.5294117647058824,0.8695652173913043,0.8235294117647058,3.5,0.3018867924528302,0.5094339622641509,0.18867924528301888,32,54,20,1
36,2025-08-19,Atlanta Dream,home,74,72,True,2,Phase 2: Winning Streak,2,False,22-14,0.5078125,0.171875,0.17847336628226249,0.3103448275862069,0.46153846153846156,0.2153846153846154,0.1385809312638581,0.28125,101.5925315760571,99.77827050997783,1.8142610660792684,72.5,0.537478210342824,0.3125,0.35,0.8181818181818182,0.6896551724137931,1.5384615384615385,0.40540540540540543,0.28378378378378377,0.12162162162162163,30,21,9,1
37,2025-08-21,Phoenix Mercury,home,83,61,True,22,Phase 2: Winning Streak,2,False,23-14,0.5068493150684932,0.136986301369863,0.05305039787798408,0.16666666666666666,0.352112676056338,0.18309859154929578,0.1694473409801877,0.29545454545454547,110.07957559681697,79.50990615224191,30.569669444575055,76.06,0.5361757105943152,0.3013698630136986,0.2727272727272727,0.9,0.5294117647058824,4.5,0.4819277108433735,0.21686746987951808,0.10843373493975904,40,18,9,1
38,2025-08-23,Washington Mystics,away,91,81,True,10,Phase 2: Winning Streak,2,False,24-14,0.6,0.23076923076923078,0.13994910941475827,0.13333333333333333,0.46153846153846156,0.4307692307692308,0.14756517461878998,0.21052631578947367,115.77608142493641,99.60649286768324,16.169588557253164,79.96,0.6354748603351956,0.3076923076923077,0.5,0.8666666666666667,0.7941176470588235,2.4545454545454546,0.2857142857142857,0.32967032967032966,0.14285714285714285,26,30,13,1
39,2025-08-25,Chicago Sky,away,79,74,True,5,Phase 2: Winning Streak,2,False,25-14,0.5298507462686567,0.14925373134328357,0.15113350125944583,0.1111111111111111,0.4230769230769231,0.35384615384615387,0.21655437921077958,0.3333333333333333,99.49622166246851,89.0279114533205,10.468310209148015,81.26,0.5532212885154061,0.34328358208955223,0.4782608695652174,0.8,0.6666666666666666,1.6666666666666667,0.3291139240506329,0.4177215189873418,0.10126582278481013,26,33,8,1
40,2025-08-27,Atlanta Dream,away,81,75,True,6,Phase 2: Winning Streak,2,False,26-14,0.5373134328358209,0.16417910447761194,0.09479956663055254,0.14285714285714285,0.4266666666666667,0.17333333333333334,0.1173096976016684,0.325,109.69664138678223,97.75808133472367,11.938560052058563,75.28,0.5637527839643652,0.31343283582089554,0.38095238095238093,0.8181818181818182,0.8125,3.7142857142857144,0.4691358024691358,0.2962962962962963,0.1111111111111111,38,24,9,1
41,2025-09-04,Minnesota Lynx,home,97,87,True,10,Phase 2: Winning Streak,2,False,27-14,0.6304347826086957,0.15942028985507245,0.1377755511022044,0.17857142857142858,0.6044776119402985,0.16417910447761194,0.15220700152207,0.1724137931034483,121.4929859719439,110.35007610350075,11.142909868443141,79.34,0.6568255687973997,0.34782608695652173,0.4583333333333333,0.9090909090909091,0.6578947368421053,2.272727272727273,0.41237113402061853,0.3402061855670103,0.10309278350515463,40,33,10,1
42,2025-09-07,Chicago Sky,home,80,66,True,14,Phase 2: Winning Streak,2,False,28-14,0.5285714285714286,0.1,0.12973533990659056,0.17647058823529413,0.44776119402985076,0.1044776119402985,0.22642514651038892,0.35294117647058826,103.78827192527244,87.90623335109217,15.882038574180271,76.08,0.5473453749315819,0.4857142857142857,0.29411764705882354,0.8571428571428571,0.625,2.0,0.425,0.375,0.075,34,30,6,1
43,2025-09-09,Chicago Sky,home,92,61,True,31,Phase 2: Winning Streak,2,False,29-14,0.6693548387096774,0.1935483870967742,0.099601593625498,0.16666666666666666,0.3620689655172414,0.3448275862068966,0.1671309192200557,0.23333333333333334,130.90495162208308,84.958217270195,45.94673435188808,71.03999999999999,0.6837098692033293,0.46774193548387094,0.5172413793103449,0.75,0.7647058823529411,3.7142857142857144,0.30434782608695654,0.4891304347826087,0.09782608695652174,28,45,9,1
44,2025-09-11,Los Angeles Sparks,away,103,75,True,28,Phase 2: Winning Streak,2,False,30-14,0.6282051282051282,0.07692307692307693,0.13640873015873015,0.2894736842105263,0.4520547945205479,0.136986301369863,0.16203703703703703,0.13157894736842105,127.72817460317461,86.80555555555554,40.922619047619065,83.52000000000001,0.638640873015873,0.5769230769230769,0.4888888888888889,0.8333333333333334,0.9210526315789473,3.1818181818181817,0.23300970873786409,0.6407766990291263,0.04854368932038835,24,66,5,1
45,2025-09-14,Seattle Storm,home,102,77,True,25,Phase 3: Playoffs,3,True,31-14,0.6056338028169014,0.29577464788732394,0.11503067484662577,0.2972972972972973,0.4859154929577465,0.15492957746478872,0.1503006012024048,0.2222222222222222,130.3680981595092,96.44288577154309,33.92521238796611,79.03999999999999,0.6355932203389831,0.4084507042253521,0.4827586206896552,0.7619047619047619,0.6388888888888888,2.5555555555555554,0.35294117647058826,0.4117647058823529,0.1568627450980392,36,42,16,1
46,2025-09-16,Seattle Storm,away,83,86,False,-3,Phase 3: Playoffs,3,True,31-15,0.5625,0.5178571428571429,0.14713750668806846,0.17857142857142858,0.5277777777777778,0.16666666666666666,0.12774655084312722,0.2727272727272727,111.02193686463349,109.86203372508942,1.1599031395440704,76.52000000000001,0.6035485747527632,0.3392857142857143,0.3684210526315789,0.6896551724137931,0.7857142857142857,2.0,0.3614457831325301,0.25301204819277107,0.24096385542168675,30,21,20,0
47,2025-09-18,Seattle Storm,home,74,73,True,1,Phase 3: Playoffs,3,True,32-15,0.48360655737704916,0.2786885245901639,0.16778523489932884,0.14285714285714285,0.45384615384615384,0.27692307692307694,0.20020020020020018,0.28125,95.50851832731027,91.34134134134135,4.167176985968922,78.7,0.540303738317757,0.19672131147540983,0.25,0.8823529411764706,0.7142857142857143,1.5384615384615385,0.5675675675675675,0.12162162162162163,0.20270270270270271,42,9,15,1
48,2025-09-21,Indiana Fever,home,73,89,False,-16,Phase 3: Playoffs,3,True,32-16,0.44366197183098594,0.16901408450704225,0.14947683109118087,0.21052631578947367,0.5367647058823529,0.25,0.12425447316103379,0.16666666666666666,90.9317389138017,110.58648111332008,-19.65474219951838,80.38,0.4785002621919245,0.23943661971830985,0.29411764705882354,0.8333333333333334,0.41379310344827586,1.0,0.5205479452054794,0.2054794520547945,0.136986301369863,38,15,10,0
49,2025-09-23,Indiana Fever,home,90,68,True,22,Phase 3: Playoffs,3,True,33-16,0.5769230769230769,0.3230769230769231,0.1744765702891326,0.2962962962962963,0.4672131147540984,0.2459016393442623,0.2412868632707775,0.3333333333333333,112.16350947158524,91.15281501340483,21.01069445818041,77.41999999999999,0.6061422413793104,0.18461538461538463,0.4166666666666667,0.7142857142857143,0.6285714285714286,1.5714285714285714,0.5333333333333333,0.16666666666666666,0.16666666666666666,48,15,15,1
50,2025-09-26,Indiana Fever,away,84,72,True,12,Phase 3: Playoffs,3,True,34-16,0.5384615384615384,0.26153846153846155,0.16973811833171676,0.14814814814814814,0.4041095890410959,0.2876712328767123,0.1744765702891326,0.42105263157894735,101.84287099903007,89.7308075772682,12.112063421761874,81.36,0.5794701986754967,0.15384615384615385,0.4,0.8235294117647058,0.6060606060606061,1.4285714285714286,0.5714285714285714,0.14285714285714285,0.16666666666666666,48,12,14,1
51,2025-09-28,Indiana Fever,away,83,90,False,-7,Phase 3: Playoffs,3,True,34-17,0.5597014925373134,0.16417910447761194,0.17891221374045801,0.10344827586206896,0.47761194029850745,0.5074626865671642,0.1591632560254661,0.2962962962962963,98.99809160305342,102.31923601637108,-3.321144413317654,85.9,0.5776726057906458,0.34328358208955223,0.391304347826087,0.7272727272727273,0.6666666666666666,1.4666666666666666,0.4578313253012048,0.3253012048192771,0.0963855421686747,38,27,8,0
52,2025-09-30,Indiana Fever,home,107,98,True,9,Phase 3: Playoffs,3,True,35-17,0.54375,0.275,0.07719453021614468,0.17647058823529413,0.5273972602739726,0.3287671232876712,0.20980565371024734,0.4444444444444444,117.99735333039258,108.2155477031802,9.781805627212378,90.62,0.5965655664585191,0.325,0.4230769230769231,0.9090909090909091,0.6842105263157895,3.7142857142857144,0.35514018691588783,0.308411214953271,0.18691588785046728,38,33,20,1
53,2025-10-03,Phoenix Mercury,home,89,86,True,3,Phase 3: Playoffs,3,True,36-17,0.5208333333333334,0.2777777777777778,0.06426735218508997,0.21621621621621623,0.5757575757575758,0.19696969696969696,0.15440041173443128,0.1935483870967742,114.39588688946016,110.65362840967576,3.7422584797843967,77.75999999999999,0.5507425742574258,0.375,0.3333333333333333,0.7,0.7272727272727273,4.8,0.38202247191011235,0.30337078651685395,0.15730337078651685,34,27,14,1
54,2025-10-05,Phoenix Mercury,home,91,78,True,13,Phase 3: Playoffs,3,True,37-17,0.5466666666666666,0.17333333333333334,0.1534466477809254,0.2571428571428571,0.44366197183098594,0.2535211267605634,0.13427734375,0.19047619047619047,107.4126534466478,95.21484375,12.197809696647795,83.32,0.5636769078295342,0.30666666666666664,0.34782608695652173,0.6923076923076923,0.5675675675675675,1.6153846153846154,0.43956043956043955,0.26373626373626374,0.0989010989010989,40,24,9,1
55,2025-10-08,Phoenix Mercury,away,90,88,True,2,Phase 3: Playoffs,3,True,38-17,0.49264705882352944,0.36764705882352944,0.10666666666666667,0.34285714285714286,0.49242424242424243,0.4696969696969697,0.14698677119059284,0.29411764705882354,120.0,107.79029887310143,12.209701126898565,78.32,0.569620253164557,0.35294117647058826,0.375,0.92,0.7241379310344828,2.625,0.3333333333333333,0.3,0.25555555555555554,30,27,23,1
56,2025-10-10,Phoenix Mercury,away,97,86,True,11,Phase 3: Playoffs,3,True,39-17,0.4722222222222222,0.4861111111111111,0.08293838862559241,0.23255813953488372,0.5307692307692308,0.2923076923076923,0.21593090211132437,0.26666666666666666,114.92890995260663,103.16698656429944,11.761923388307196,83.88,0.5549199084668192,0.4305555555555556,0.3870967741935484,0.8285714285714286,0.6785714285714286,2.7142857142857144,0.28865979381443296,0.3711340206185567,0.29896907216494845,28,36,29,1
