game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,fast_break_points,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,largest_lead,offensive_rebounds,points_in_paint,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnover_points,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name,opponent_team_color,opponent_team_alternate_color,opponent_team_logo,opponent_team_score
401736294,2025,2,2025-08-03,2025-08-03 18:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,101,True,24,3,28,6,46.1,35,76,0,15,81.3,13,16,28,18,28,10,1,1,45.0,18,40,46,1,16,13,15,129689,s:40~l:59~t:129689,golden-state-valkyries,Golden State,Valkyries,GS,Golden State Valkyries,Valkyries,b38fcf,000000,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,77
401736290,2025,2,2025-08-02,2025-08-02 15:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,58,False,18,7,18,2,34.3,23,67,0,17,50.0,4,8,2,4,28,6,1,0,30.8,8,26,22,0,16,23,15,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,266092,79bc43,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,111
401736280,2025,2,2025-07-29,2025-07-29 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,89,True,25,6,24,4,46.2,36,78,0,17,100.0,8,8,21,12,44,13,1,1,28.1,9,32,36,1,14,9,13,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,552583,fdb927,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,74
401736273,2025,2,2025-07-27,2025-07-27 16:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,106,True,30,7,26,16,48.6,36,74,0,19,79.2,19,24,26,11,34,6,0,0,41.7,15,36,37,0,10,10,10,3,s:40~l:59~t:3,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,80
401736267,2025,2,2025-07-25,2025-07-25 19:30:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,78,False,15,4,20,2,38.0,27,71,0,27,69.6,16,23,2,10,30,7,1,1,30.8,8,26,30,1,7,12,6,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,266092,79bc43,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,109
401736264,2025,2,2025-07-24,2025-07-24 19:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,70,False,12,3,28,2,40.3,27,67,0,21,82.4,14,17,8,9,38,7,0,0,13.3,2,15,37,0,14,15,14,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,002d62,e03a3e,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,80
401736260,2025,2,2025-07-22,2025-07-22 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,87,True,20,4,29,9,44.9,31,69,0,18,90.5,19,21,17,5,28,13,2,0,30.0,6,20,34,0,13,5,11,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,e31837,5091cc,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,72
401736256,2025,2,2025-07-16,2025-07-16 20:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,90,True,23,9,29,15,47.9,34,71,0,11,65.4,17,26,22,11,44,8,1,0,33.3,5,15,40,0,16,20,15,3,s:40~l:59~t:3,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,86
401736243,2025,2,2025-07-12,2025-07-12 16:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,104,True,21,2,22,8,54.8,34,62,0,20,85.7,30,35,9,8,48,4,0,1,28.6,6,21,30,1,9,11,9,129689,s:40~l:59~t:129689,golden-state-valkyries,Golden State,Valkyries,GS,Golden State Valkyries,Valkyries,b38fcf,000000,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,102
401736239,2025,2,2025-07-10,2025-07-10 19:30:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,68,False,12,5,24,7,38.0,27,71,0,20,78.6,11,14,15,7,38,8,2,0,12.0,3,25,31,0,13,16,11,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,002b5c,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,70
401736233,2025,2,2025-07-08,2025-07-08 20:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,78,False,13,7,25,7,41.0,25,61,0,22,87.5,21,24,7,7,32,2,0,0,26.9,7,26,32,0,16,23,16,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,86cebc,000000,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,87
401736227,2025,2,2025-07-06,2025-07-06 16:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,86,True,21,6,28,10,54.0,34,63,0,15,69.2,9,13,23,7,44,9,2,0,34.6,9,26,35,0,16,19,14,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CON,Connecticut Sun,Sun,f05023,0a2240,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,68
401736220,2025,2,2025-07-03,2025-07-03 19:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,54,False,12,1,18,9,26.2,16,61,0,21,86.4,19,22,0,8,20,4,2,0,18.8,3,16,26,0,19,19,17,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,002d62,e03a3e,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,81
401736217,2025,2,2025-06-29,2025-06-29 18:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,84,True,20,3,31,4,43.3,26,60,0,19,88.5,23,26,9,5,28,5,1,1,37.5,9,24,36,1,13,18,12,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3c286e,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,81
401736208,2025,2,2025-06-26,2025-06-26 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,83,False,21,7,25,3,50.0,33,66,1,24,91.7,11,12,1,2,36,4,1,0,26.1,6,23,27,0,9,19,8,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,002b5c,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,94
401736206,2025,2,2025-06-25,2025-06-25 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,85,True,18,7,35,4,42.9,30,70,0,14,87.5,14,16,26,10,32,6,0,0,39.3,11,28,45,0,15,11,15,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CON,Connecticut Sun,Sun,f05023,0a2240,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,59
401736198,2025,2,2025-06-22,2025-06-22 15:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,89,True,19,3,23,10,45.1,32,71,0,11,90.5,19,21,9,8,40,9,0,0,30.0,6,20,31,0,13,16,13,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,002d62,e03a3e,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,81
401736193,2025,2,2025-06-20,2025-06-20 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,83,False,20,5,24,10,47.5,29,61,0,16,66.7,14,21,11,6,28,5,0,0,57.9,11,19,30,0,14,9,14,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,2c5235,fee11a,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,90
401736186,2025,2,2025-06-17,2025-06-17 20:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,62,False,18,4,26,2,35.9,23,64,0,21,77.8,7,9,14,8,22,4,4,0,37.5,9,24,34,0,21,27,17,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,266092,79bc43,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,76
401736181,2025,2,2025-06-15,2025-06-15 18:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,70,False,14,4,27,9,35.9,23,64,0,13,93.8,15,16,4,11,20,6,3,0,32.1,9,28,38,0,22,22,19,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3c286e,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,76
401736175,2025,2,2025-06-13,2025-06-13 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,88,True,15,4,26,15,41.9,26,62,0,12,92.9,26,28,10,10,30,10,0,1,34.5,10,29,36,1,18,23,18,3,s:40~l:59~t:3,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,84
401736171,2025,2,2025-06-11,2025-06-11 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,89,False,12,4,19,14,37.5,27,72,0,24,89.7,26,29,7,9,32,8,0,2,25.7,9,35,28,2,9,14,9,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,552583,fdb927,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,97
401736163,2025,2,2025-06-07,2025-06-07 15:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,68,False,11,2,24,6,35.5,22,62,0,14,72.0,18,25,0,7,26,5,0,0,24.0,6,25,31,0,13,10,13,129689,s:40~l:59~t:129689,golden-state-valkyries,Golden State,Valkyries,GS,Golden State Valkyries,Valkyries,b38fcf,000000,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,95
401736154,2025,2,2025-06-01,2025-06-01 18:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,75,True,17,4,25,10,42.2,27,64,0,17,78.6,11,14,17,6,24,11,3,0,40.0,10,25,31,0,18,18,15,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,2c5235,fee11a,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,70
401736148,2025,2,2025-05-30,2025-05-30 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,96,True,22,7,24,12,45.7,32,70,0,16,87.0,20,23,24,6,32,12,1,0,48.0,12,25,30,0,11,18,10,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,552583,fdb927,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,81
401736137,2025,2,2025-05-25,2025-05-25 18:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,82,False,19,8,20,10,43.9,29,66,0,10,75.0,15,20,1,5,38,7,1,0,36.0,9,25,25,0,13,21,12,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,2c5235,fee11a,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,102
401736129,2025,2,2025-05-23,2025-05-23 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,75,True,15,6,25,10,34.8,24,69,0,18,95.0,19,20,3,7,24,9,2,0,24.2,8,33,32,0,10,8,8,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,002b5c,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,72
401736121,2025,2,2025-05-20,2025-05-20 19:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,87,True,16,4,29,4,38.8,26,67,0,18,83.3,25,30,35,12,28,9,2,0,38.5,10,26,41,0,13,10,11,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CON,Connecticut Sun,Sun,f05023,0a2240,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,62
401736116,2025,2,2025-05-17,2025-05-17 13:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,78,False,18,2,29,7,34.1,28,82,0,20,84.6,11,13,2,12,32,4,0,1,34.4,11,32,41,1,10,9,10,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,86cebc,000000,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,92
