player_id,player_name,stat,stat_value_player_on,stat_value_player_off,player_stat_value_diff
203833,Chelsea Gray,2pt FGM Assist%,0.572,0.513,0.06
203833,Chelsea Gray,Non Putback 2pt FGM Assist%,0.614,0.538,0.08
203833,Chelsea Gray,3pt FGM Assist%,0.899,0.826,0.07
203833,Chelsea Gray,3pt FG%,0.36,0.326,0.03
203833,Chelsea Gray,Non-Heave 3pt FG%,0.361,0.328,0.03
203833,Chelsea Gray,2pt FG%,0.516,0.408,0.11
203833,Chelsea Gray,eFG%,0.525,0.441,0.08
203833,Chelsea Gray,TS%,0.57,0.492,0.08
203833,Chelsea Gray,3PAr,0.374,0.414,-0.04
203833,Chelsea Gray,% of FG3A Blocked,0.008,0.019,-0.01
203833,Chelsea Gray,% of FG2A Blocked,0.054,0.062,-0.01
203833,Chelsea Gray,Live Ball TO%,0.532,0.437,0.1
203833,Chelsea Gray,DReb% - Missed FTs,0.875,0.636,0.24
203833,Chelsea Gray,OReb% - Missed FTs,0.132,0.118,0.01
203833,Chelsea Gray,DReb% - Missed 2s,0.67,0.717,-0.05
203833,Chelsea Gray,OReb% - Missed 2s,0.288,0.215,0.07
203833,Chelsea Gray,DReb% - Missed 3s,0.75,0.723,0.03
203833,Chelsea Gray,OReb% - Missed 3s,0.273,0.207,0.07
203833,Chelsea Gray,DReb% - Missed FGs,0.702,0.719,-0.02
203833,Chelsea Gray,OReb% - Missed FGs,0.281,0.211,0.07
203833,Chelsea Gray,At Rim OReb%,0.338,0.314,0.02
203833,Chelsea Gray,Short Mid-Range OReb%,0.293,0.215,0.08
203833,Chelsea Gray,Long Mid-Range OReb%,0.233,0.136,0.1
203833,Chelsea Gray,Arc 3 OReb%,0.266,0.209,0.06
203833,Chelsea Gray,Corner 3 OReb%,0.29,0.2,0.09
203833,Chelsea Gray,At Rim DReb%,0.581,0.654,-0.07
203833,Chelsea Gray,Short Mid-Range DReb%,0.68,0.754,-0.07
203833,Chelsea Gray,Long Mid-Range DReb%,0.759,0.689,0.07
203833,Chelsea Gray,Arc 3 DReb%,0.743,0.738,0.01
203833,Chelsea Gray,Corner 3 DReb%,0.786,0.636,0.15
203833,Chelsea Gray,Blocks Recovered %,0.534,0.535,0
203833,Chelsea Gray,Seconds Per Possession - Offense,15.461,15.717,-0.26
203833,Chelsea Gray,Seconds Per Possession - Defense,15.35,14.678,0.67
203833,Chelsea Gray,At Rim Shot Frequency,0.16,0.122,0.04
203833,Chelsea Gray,At Rim FG%,0.648,0.551,0.1
203833,Chelsea Gray,At Rim % Assisted,0.564,0.465,0.1
203833,Chelsea Gray,Short Mid Range Shot Frequency,0.34,0.353,-0.01
203833,Chelsea Gray,Short Mid Range FG%,0.479,0.369,0.11
203833,Chelsea Gray,Short Mid Range % Assisted,0.572,0.47,0.1
203833,Chelsea Gray,Long Mid Range Shot Frequency,0.126,0.11,0.02
203833,Chelsea Gray,Long Mid Range FG%,0.448,0.371,0.08
203833,Chelsea Gray,Long Mid % Assisted,0.586,0.731,-0.14
203833,Chelsea Gray,Corner 3 Shot Frequency,0.105,0.089,0.02
203833,Chelsea Gray,Corner 3 FG%,0.372,0.298,0.07
203833,Chelsea Gray,Corner 3 % Assisted,0.978,1,-0.02
203833,Chelsea Gray,Arc 3 Shot Frequency,0.269,0.325,-0.06
203833,Chelsea Gray,Arc 3 FG%,0.355,0.333,0.02
203833,Chelsea Gray,Arc 3 % Assisted,0.866,0.783,0.08
203833,Chelsea Gray,At Rim or 3pt Shot Frequency,0.533,0.537,0
203833,Chelsea Gray,Non-Heave Arc 3 FG%,0.357,0.337,0.02
203833,Chelsea Gray,Shot Quality,0.475,0.466,0.01
203833,Chelsea Gray,Shooting Foul Drawn Rate,0.105,0.114,-0.01
203833,Chelsea Gray,3pt Shooting Foul Drawn Rate,0.152,0.173,-0.02
203833,Chelsea Gray,2pt Shooting Foul Drawn Rate,0.017,0.019,0
203833,Chelsea Gray,Second Chance Points%,0.129,0.123,0.01
203833,Chelsea Gray,Penalty Points%,0.236,0.289,-0.05
203833,Chelsea Gray,Penalty Possessions%,0.22,0.291,-0.07
203833,Chelsea Gray,Avg 2pt Shot Distance,8.291,8.373,-0.08
203833,Chelsea Gray,Avg 3pt Shot Distance,24.841,24.987,-0.15
203833,Chelsea Gray,Penalty Efficiency Excluding Last Minute Take Foul Possessions,119.349,91.518,27.83
203833,Chelsea Gray,DReb%,0.709,0.717,-0.01
203833,Chelsea Gray,OReb%,0.275,0.207,0.07
203833,Chelsea Gray,Pts per 100 Possessions,111.721,92.078,19.64
203833,Chelsea Gray,Assist Points per 100 Possessions,64.203,47.922,16.28
203833,Chelsea Gray,FTA per 100 Possessions,23.703,23.766,-0.06
203833,Chelsea Gray,TOs per 100 Possessions,16.349,17.532,-1.18
203833,Chelsea Gray,Assists per 100 Possessions,26.801,19.351,7.45
203833,Chelsea Gray,Pts per 100 Possessions - Defense,104.649,98.163,6.49
203833,Chelsea Gray,Shot Quality - Defense,0.478,0.481,0
203833,Chelsea Gray,3pt FG% - Defense,0.334,0.249,0.09
203833,Chelsea Gray,2pt FG% - Defense,0.493,0.502,-0.01
203833,Chelsea Gray,eFG% - Defense,0.496,0.461,0.04
203833,Chelsea Gray,3PAr - Defense,0.338,0.317,0.02
203833,Chelsea Gray,At Rim Shot Frequency - Defense,0.223,0.253,-0.03
203833,Chelsea Gray,At Rim FG% - Defense,0.634,0.677,-0.04
203833,Chelsea Gray,Short Mid Range Shot Frequency - Defense,0.333,0.316,0.02
203833,Chelsea Gray,Short Mid Range FG% - Defense,0.424,0.409,0.02
203833,Chelsea Gray,Long Mid Range Shot Frequency - Defense,0.106,0.114,-0.01
203833,Chelsea Gray,Long Mid Range FG% - Defense,0.417,0.373,0.04
203833,Chelsea Gray,Corner 3 Shot Frequency - Defense,0.061,0.056,0.01
203833,Chelsea Gray,Corner 3 FG% - Defense,0.403,0.405,0
203833,Chelsea Gray,Arc 3 Shot Frequency - Defense,0.277,0.261,0.02
203833,Chelsea Gray,Arc 3 FG% - Defense,0.319,0.215,0.1
203833,Chelsea Gray,Pace,93.473,94.734,-1.26
203833,Chelsea Gray,Second Chance Efficiency,124.437,110.127,14.31
203833,Chelsea Gray,Penalty Efficiency,119.831,91.518,28.31
203833,Chelsea Gray,Second Chance Possessions Per 100 Possessions,11.609,10.26,1.35
203833,Chelsea Gray,First Chance Points Per 100 Possessions,97.275,80.779,16.5
203833,Chelsea Gray,Second Chance Points Per 100 Possessions,14.446,11.299,3.15
204319,Jewell Loyd,2pt FGM Assist%,0.537,0.618,-0.08
204319,Jewell Loyd,Non Putback 2pt FGM Assist%,0.575,0.656,-0.08
204319,Jewell Loyd,3pt FGM Assist%,0.873,0.91,-0.04
204319,Jewell Loyd,3pt FG%,0.364,0.319,0.04
204319,Jewell Loyd,Non-Heave 3pt FG%,0.365,0.321,0.05
204319,Jewell Loyd,2pt FG%,0.49,0.498,-0.01
204319,Jewell Loyd,eFG%,0.512,0.491,0.02
204319,Jewell Loyd,TS%,0.557,0.539,0.02
204319,Jewell Loyd,3PAr,0.391,0.362,0.03
204319,Jewell Loyd,% of FG3A Blocked,0.007,0.016,-0.01
204319,Jewell Loyd,% of FG2A Blocked,0.053,0.062,-0.01
204319,Jewell Loyd,Live Ball TO%,0.51,0.506,0
204319,Jewell Loyd,DReb% - Missed FTs,0.867,0.773,0.09
204319,Jewell Loyd,OReb% - Missed FTs,0.115,0.167,-0.05
204319,Jewell Loyd,DReb% - Missed 2s,0.687,0.661,0.03
204319,Jewell Loyd,OReb% - Missed 2s,0.274,0.265,0.01
204319,Jewell Loyd,DReb% - Missed 3s,0.742,0.753,-0.01
204319,Jewell Loyd,OReb% - Missed 3s,0.263,0.24,0.02
204319,Jewell Loyd,DReb% - Missed FGs,0.709,0.697,0.01
204319,Jewell Loyd,OReb% - Missed FGs,0.269,0.254,0.02
204319,Jewell Loyd,At Rim OReb%,0.336,0.327,0.01
204319,Jewell Loyd,Short Mid-Range OReb%,0.272,0.277,0
204319,Jewell Loyd,Long Mid-Range OReb%,0.224,0.191,0.03
204319,Jewell Loyd,Arc 3 OReb%,0.262,0.223,0.04
204319,Jewell Loyd,Corner 3 OReb%,0.266,0.294,-0.03
204319,Jewell Loyd,At Rim DReb%,0.625,0.527,0.1
204319,Jewell Loyd,Short Mid-Range DReb%,0.696,0.693,0
204319,Jewell Loyd,Long Mid-Range DReb%,0.737,0.745,-0.01
204319,Jewell Loyd,Arc 3 DReb%,0.74,0.75,-0.01
204319,Jewell Loyd,Corner 3 DReb%,0.75,0.767,-0.02
204319,Jewell Loyd,Blocks Recovered %,0.551,0.493,0.06
204319,Jewell Loyd,Seconds Per Possession - Offense,15.271,16.15,-0.88
204319,Jewell Loyd,Seconds Per Possession - Defense,15.224,15.129,0.1
204319,Jewell Loyd,At Rim Shot Frequency,0.146,0.161,-0.01
204319,Jewell Loyd,At Rim FG%,0.617,0.647,-0.03
204319,Jewell Loyd,At Rim % Assisted,0.532,0.578,-0.05
204319,Jewell Loyd,Short Mid Range Shot Frequency,0.345,0.342,0
204319,Jewell Loyd,Short Mid Range FG%,0.452,0.463,-0.01
204319,Jewell Loyd,Short Mid Range % Assisted,0.523,0.628,-0.1
204319,Jewell Loyd,Long Mid Range Shot Frequency,0.118,0.135,-0.02
204319,Jewell Loyd,Long Mid Range FG%,0.446,0.41,0.04
204319,Jewell Loyd,Long Mid % Assisted,0.586,0.667,-0.08
204319,Jewell Loyd,Corner 3 Shot Frequency,0.108,0.088,0.02
204319,Jewell Loyd,Corner 3 FG%,0.37,0.329,0.04
204319,Jewell Loyd,Corner 3 % Assisted,0.976,1,-0.02
204319,Jewell Loyd,Arc 3 Shot Frequency,0.283,0.274,0.01
204319,Jewell Loyd,Arc 3 FG%,0.361,0.316,0.05
204319,Jewell Loyd,Arc 3 % Assisted,0.833,0.88,-0.05
204319,Jewell Loyd,At Rim or 3pt Shot Frequency,0.537,0.523,0.01
204319,Jewell Loyd,Non-Heave Arc 3 FG%,0.364,0.318,0.05
204319,Jewell Loyd,Shot Quality,0.472,0.473,0
204319,Jewell Loyd,Shooting Foul Drawn Rate,0.104,0.113,-0.01
204319,Jewell Loyd,3pt Shooting Foul Drawn Rate,0.155,0.159,0
204319,Jewell Loyd,2pt Shooting Foul Drawn Rate,0.016,0.022,-0.01
204319,Jewell Loyd,Second Chance Points%,0.129,0.125,0
204319,Jewell Loyd,Penalty Points%,0.254,0.22,0.03
204319,Jewell Loyd,Penalty Possessions%,0.242,0.215,0.03
204319,Jewell Loyd,Avg 2pt Shot Distance,8.283,8.428,-0.14
204319,Jewell Loyd,Avg 3pt Shot Distance,24.826,25.012,-0.19
204319,Jewell Loyd,Penalty Efficiency Excluding Last Minute Take Foul Possessions,113.058,106.481,6.58
204319,Jewell Loyd,DReb%,0.715,0.7,0.01
204319,Jewell Loyd,OReb%,0.263,0.251,0.01
204319,Jewell Loyd,Pts per 100 Possessions,108.395,103.976,4.42
204319,Jewell Loyd,Assist Points per 100 Possessions,60.165,60.934,-0.77
204319,Jewell Loyd,FTA per 100 Possessions,23.457,24.155,-0.7
204319,Jewell Loyd,TOs per 100 Possessions,16.379,17.296,-0.92
204319,Jewell Loyd,Assists per 100 Possessions,24.691,25.944,-1.25
204319,Jewell Loyd,Pts per 100 Possessions - Defense,103.909,101.885,2.03
204319,Jewell Loyd,Shot Quality - Defense,0.478,0.48,0
204319,Jewell Loyd,3pt FG% - Defense,0.312,0.324,-0.01
204319,Jewell Loyd,2pt FG% - Defense,0.503,0.48,0.02
204319,Jewell Loyd,eFG% - Defense,0.491,0.482,0.01
204319,Jewell Loyd,3PAr - Defense,0.333,0.335,0
204319,Jewell Loyd,At Rim Shot Frequency - Defense,0.229,0.23,0
204319,Jewell Loyd,At Rim FG% - Defense,0.65,0.634,0.02
204319,Jewell Loyd,Short Mid Range Shot Frequency - Defense,0.329,0.33,0
204319,Jewell Loyd,Short Mid Range FG% - Defense,0.432,0.393,0.04
204319,Jewell Loyd,Long Mid Range Shot Frequency - Defense,0.109,0.105,0
204319,Jewell Loyd,Long Mid Range FG% - Defense,0.407,0.415,-0.01
204319,Jewell Loyd,Corner 3 Shot Frequency - Defense,0.061,0.057,0
204319,Jewell Loyd,Corner 3 FG% - Defense,0.395,0.412,-0.02
204319,Jewell Loyd,Arc 3 Shot Frequency - Defense,0.272,0.278,-0.01
204319,Jewell Loyd,Arc 3 FG% - Defense,0.294,0.306,-0.01
204319,Jewell Loyd,Pace,94.442,92.077,2.36
204319,Jewell Loyd,Second Chance Efficiency,122.662,118.018,4.64
204319,Jewell Loyd,Penalty Efficiency,113.605,106.481,7.12
204319,Jewell Loyd,Second Chance Possessions Per 100 Possessions,11.44,11.034,0.41
204319,Jewell Loyd,First Chance Points Per 100 Possessions,94.362,90.954,3.41
204319,Jewell Loyd,Second Chance Points Per 100 Possessions,14.033,13.022,1.01
1628932,A'ja Wilson,2pt FGM Assist%,0.604,0.417,0.19
1628932,A'ja Wilson,Non Putback 2pt FGM Assist%,0.648,0.44,0.21
1628932,A'ja Wilson,3pt FGM Assist%,0.896,0.85,0.05
1628932,A'ja Wilson,3pt FG%,0.369,0.314,0.06
1628932,A'ja Wilson,Non-Heave 3pt FG%,0.371,0.315,0.06
1628932,A'ja Wilson,2pt FG%,0.509,0.447,0.06
1628932,A'ja Wilson,eFG%,0.525,0.458,0.07
1628932,A'ja Wilson,TS%,0.571,0.503,0.07
1628932,A'ja Wilson,3PAr,0.36,0.441,-0.08
1628932,A'ja Wilson,% of FG3A Blocked,0.006,0.019,-0.01
1628932,A'ja Wilson,% of FG2A Blocked,0.052,0.066,-0.01
1628932,A'ja Wilson,Live Ball TO%,0.528,0.475,0.05
1628932,A'ja Wilson,DReb% - Missed FTs,0.848,0.81,0.04
1628932,A'ja Wilson,OReb% - Missed FTs,0.113,0.167,-0.05
1628932,A'ja Wilson,DReb% - Missed 2s,0.696,0.642,0.06
1628932,A'ja Wilson,OReb% - Missed 2s,0.279,0.251,0.03
1628932,A'ja Wilson,DReb% - Missed 3s,0.762,0.697,0.06
1628932,A'ja Wilson,OReb% - Missed 3s,0.27,0.234,0.04
1628932,A'ja Wilson,DReb% - Missed FGs,0.722,0.663,0.06
1628932,A'ja Wilson,OReb% - Missed FGs,0.275,0.243,0.03
1628932,A'ja Wilson,At Rim OReb%,0.395,0.212,0.18
1628932,A'ja Wilson,Short Mid-Range OReb%,0.271,0.279,-0.01
1628932,A'ja Wilson,Long Mid-Range OReb%,0.211,0.216,0
1628932,A'ja Wilson,Arc 3 OReb%,0.256,0.244,0.01
1628932,A'ja Wilson,Corner 3 OReb%,0.307,0.203,0.1
1628932,A'ja Wilson,At Rim DReb%,0.595,0.61,-0.02
1628932,A'ja Wilson,Short Mid-Range DReb%,0.723,0.634,0.09
1628932,A'ja Wilson,Long Mid-Range DReb%,0.754,0.708,0.05
1628932,A'ja Wilson,Arc 3 DReb%,0.754,0.708,0.05
1628932,A'ja Wilson,Corner 3 DReb%,0.8,0.645,0.16
1628932,A'ja Wilson,Blocks Recovered %,0.558,0.462,0.1
1628932,A'ja Wilson,Seconds Per Possession - Offense,15.274,16.142,-0.87
1628932,A'ja Wilson,Seconds Per Possession - Defense,15.273,15.03,0.24
1628932,A'ja Wilson,At Rim Shot Frequency,0.159,0.134,0.03
1628932,A'ja Wilson,At Rim FG%,0.667,0.514,0.15
1628932,A'ja Wilson,At Rim % Assisted,0.561,0.5,0.06
1628932,A'ja Wilson,Short Mid Range Shot Frequency,0.356,0.309,0.05
1628932,A'ja Wilson,Short Mid Range FG%,0.464,0.425,0.04
1628932,A'ja Wilson,Short Mid Range % Assisted,0.607,0.374,0.23
1628932,A'ja Wilson,Long Mid Range Shot Frequency,0.125,0.116,0.01
1628932,A'ja Wilson,Long Mid Range FG%,0.434,0.432,0
1628932,A'ja Wilson,Long Mid % Assisted,0.678,0.415,0.26
1628932,A'ja Wilson,Corner 3 Shot Frequency,0.097,0.116,-0.02
1628932,A'ja Wilson,Corner 3 FG%,0.348,0.379,-0.03
1628932,A'ja Wilson,Corner 3 % Assisted,0.973,1,-0.03
1628932,A'ja Wilson,Arc 3 Shot Frequency,0.264,0.325,-0.06
1628932,A'ja Wilson,Arc 3 FG%,0.377,0.291,0.09
1628932,A'ja Wilson,Arc 3 % Assisted,0.87,0.779,0.09
1628932,A'ja Wilson,At Rim or 3pt Shot Frequency,0.519,0.575,-0.06
1628932,A'ja Wilson,Non-Heave Arc 3 FG%,0.38,0.292,0.09
1628932,A'ja Wilson,Shot Quality,0.477,0.464,0.01
1628932,A'ja Wilson,Shooting Foul Drawn Rate,0.11,0.097,0.01
1628932,A'ja Wilson,3pt Shooting Foul Drawn Rate,0.156,0.157,0
1628932,A'ja Wilson,2pt Shooting Foul Drawn Rate,0.02,0.011,0.01
1628932,A'ja Wilson,Second Chance Points%,0.134,0.11,0.02
1628932,A'ja Wilson,Penalty Points%,0.227,0.305,-0.08
1628932,A'ja Wilson,Penalty Possessions%,0.214,0.291,-0.08
1628932,A'ja Wilson,Avg 2pt Shot Distance,8.272,8.401,-0.13
1628932,A'ja Wilson,Avg 3pt Shot Distance,24.758,25.124,-0.37
1628932,A'ja Wilson,Penalty Efficiency Excluding Last Minute Take Foul Possessions,119.157,97.902,21.26
1628932,A'ja Wilson,DReb%,0.727,0.669,0.06
1628932,A'ja Wilson,OReb%,0.268,0.24,0.03
1628932,A'ja Wilson,Pts per 100 Possessions,112.885,93.286,19.6
1628932,A'ja Wilson,Assist Points per 100 Possessions,66.086,46.592,19.49
1628932,A'ja Wilson,FTA per 100 Possessions,24.635,21.567,3.07
1628932,A'ja Wilson,TOs per 100 Possessions,15.113,20.346,-5.23
1628932,A'ja Wilson,Assists per 100 Possessions,27.796,18.413,9.38
1628932,A'ja Wilson,Pts per 100 Possessions - Defense,100.445,110.194,-9.75
1628932,A'ja Wilson,Shot Quality - Defense,0.483,0.469,0.01
1628932,A'ja Wilson,3pt FG% - Defense,0.329,0.282,0.05
1628932,A'ja Wilson,2pt FG% - Defense,0.482,0.527,-0.04
1628932,A'ja Wilson,eFG% - Defense,0.486,0.495,-0.01
1628932,A'ja Wilson,3PAr - Defense,0.345,0.303,0.04
1628932,A'ja Wilson,At Rim Shot Frequency - Defense,0.228,0.233,0
1628932,A'ja Wilson,At Rim FG% - Defense,0.62,0.701,-0.08
1628932,A'ja Wilson,Short Mid Range Shot Frequency - Defense,0.321,0.351,-0.03
1628932,A'ja Wilson,Short Mid Range FG% - Defense,0.419,0.425,-0.01
1628932,A'ja Wilson,Long Mid Range Shot Frequency - Defense,0.106,0.113,-0.01
1628932,A'ja Wilson,Long Mid Range FG% - Defense,0.373,0.485,-0.11
1628932,A'ja Wilson,Corner 3 Shot Frequency - Defense,0.065,0.047,0.02
1628932,A'ja Wilson,Corner 3 FG% - Defense,0.457,0.22,0.24
1628932,A'ja Wilson,Arc 3 Shot Frequency - Defense,0.28,0.257,0.02
1628932,A'ja Wilson,Arc 3 FG% - Defense,0.299,0.293,0.01
1628932,A'ja Wilson,Pace,94.282,92.387,1.9
1628932,A'ja Wilson,Second Chance Efficiency,128.966,99.02,29.95
1628932,A'ja Wilson,Penalty Efficiency,119.697,97.902,21.8
1628932,A'ja Wilson,Second Chance Possessions Per 100 Possessions,11.75,10.376,1.37
1628932,A'ja Wilson,First Chance Points Per 100 Possessions,97.731,83.011,14.72
1628932,A'ja Wilson,Second Chance Points Per 100 Possessions,15.154,10.275,4.88
1630389,Dana Evans,2pt FGM Assist%,0.51,0.595,-0.08
1630389,Dana Evans,Non Putback 2pt FGM Assist%,0.536,0.642,-0.11
1630389,Dana Evans,3pt FGM Assist%,0.851,0.907,-0.06
1630389,Dana Evans,3pt FG%,0.332,0.368,-0.04
1630389,Dana Evans,Non-Heave 3pt FG%,0.334,0.369,-0.04
1630389,Dana Evans,2pt FG%,0.467,0.511,-0.04
1630389,Dana Evans,eFG%,0.48,0.526,-0.05
1630389,Dana Evans,TS%,0.528,0.57,-0.04
1630389,Dana Evans,3PAr,0.408,0.363,0.05
1630389,Dana Evans,% of FG3A Blocked,0.011,0.008,0
1630389,Dana Evans,% of FG2A Blocked,0.068,0.046,0.02
1630389,Dana Evans,Live Ball TO%,0.463,0.546,-0.08
1630389,Dana Evans,DReb% - Missed FTs,0.833,0.839,0
1630389,Dana Evans,OReb% - Missed FTs,0.148,0.116,0.03
1630389,Dana Evans,DReb% - Missed 2s,0.683,0.676,0.01
1630389,Dana Evans,OReb% - Missed 2s,0.24,0.295,-0.05
1630389,Dana Evans,DReb% - Missed 3s,0.716,0.764,-0.05
1630389,Dana Evans,OReb% - Missed 3s,0.231,0.28,-0.05
1630389,Dana Evans,DReb% - Missed FGs,0.696,0.712,-0.02
1630389,Dana Evans,OReb% - Missed FGs,0.236,0.288,-0.05
1630389,Dana Evans,At Rim OReb%,0.295,0.368,-0.07
1630389,Dana Evans,Short Mid-Range OReb%,0.246,0.294,-0.05
1630389,Dana Evans,Long Mid-Range OReb%,0.174,0.241,-0.07
1630389,Dana Evans,Arc 3 OReb%,0.24,0.26,-0.02
1630389,Dana Evans,Corner 3 OReb%,0.202,0.327,-0.12
1630389,Dana Evans,At Rim DReb%,0.667,0.55,0.12
1630389,Dana Evans,Short Mid-Range DReb%,0.685,0.703,-0.02
1630389,Dana Evans,Long Mid-Range DReb%,0.696,0.771,-0.07
1630389,Dana Evans,Arc 3 DReb%,0.739,0.746,-0.01
1630389,Dana Evans,Corner 3 DReb%,0.605,0.857,-0.25
1630389,Dana Evans,Blocks Recovered %,0.519,0.541,-0.02
1630389,Dana Evans,Seconds Per Possession - Offense,15.943,15.205,0.74
1630389,Dana Evans,Seconds Per Possession - Defense,15.001,15.348,-0.35
1630389,Dana Evans,At Rim Shot Frequency,0.136,0.161,-0.03
1630389,Dana Evans,At Rim FG%,0.552,0.674,-0.12
1630389,Dana Evans,At Rim % Assisted,0.438,0.603,-0.17
1630389,Dana Evans,Short Mid Range Shot Frequency,0.335,0.351,-0.02
1630389,Dana Evans,Short Mid Range FG%,0.442,0.465,-0.02
1630389,Dana Evans,Short Mid Range % Assisted,0.511,0.583,-0.07
1630389,Dana Evans,Long Mid Range Shot Frequency,0.121,0.124,0
1630389,Dana Evans,Long Mid Range FG%,0.442,0.429,0.01
1630389,Dana Evans,Long Mid % Assisted,0.609,0.611,0
1630389,Dana Evans,Corner 3 Shot Frequency,0.1,0.103,0
1630389,Dana Evans,Corner 3 FG%,0.349,0.368,-0.02
1630389,Dana Evans,Corner 3 % Assisted,1,0.969,0.03
1630389,Dana Evans,Arc 3 Shot Frequency,0.308,0.26,0.05
1630389,Dana Evans,Arc 3 FG%,0.327,0.368,-0.04
1630389,Dana Evans,Arc 3 % Assisted,0.798,0.883,-0.08
1630389,Dana Evans,At Rim or 3pt Shot Frequency,0.544,0.525,0.02
1630389,Dana Evans,Non-Heave Arc 3 FG%,0.329,0.37,-0.04
1630389,Dana Evans,Shot Quality,0.465,0.478,-0.01
1630389,Dana Evans,Shooting Foul Drawn Rate,0.107,0.107,0
1630389,Dana Evans,3pt Shooting Foul Drawn Rate,0.163,0.151,0.01
1630389,Dana Evans,2pt Shooting Foul Drawn Rate,0.015,0.019,0
1630389,Dana Evans,Second Chance Points%,0.11,0.141,-0.03
1630389,Dana Evans,Penalty Points%,0.297,0.207,0.09
1630389,Dana Evans,Penalty Possessions%,0.29,0.19,0.1
1630389,Dana Evans,Avg 2pt Shot Distance,8.439,8.247,0.19
1630389,Dana Evans,Avg 3pt Shot Distance,25.021,24.755,0.27
1630389,Dana Evans,Penalty Efficiency Excluding Last Minute Take Foul Possessions,102.989,121.212,-18.22
1630389,Dana Evans,DReb%,0.702,0.716,-0.01
1630389,Dana Evans,OReb%,0.232,0.281,-0.05
1630389,Dana Evans,Pts per 100 Possessions,100.863,111.969,-11.11
1630389,Dana Evans,Assist Points per 100 Possessions,53.519,65.751,-12.23
1630389,Dana Evans,FTA per 100 Possessions,22.908,24.249,-1.34
1630389,Dana Evans,TOs per 100 Possessions,17.065,16.321,0.74
1630389,Dana Evans,Assists per 100 Possessions,21.846,27.565,-5.72
1630389,Dana Evans,Pts per 100 Possessions - Defense,103.976,102.799,1.18
1630389,Dana Evans,Shot Quality - Defense,0.475,0.482,-0.01
1630389,Dana Evans,3pt FG% - Defense,0.283,0.337,-0.05
1630389,Dana Evans,2pt FG% - Defense,0.518,0.478,0.04
1630389,Dana Evans,eFG% - Defense,0.49,0.488,0
1630389,Dana Evans,3PAr - Defense,0.302,0.358,-0.06
1630389,Dana Evans,At Rim Shot Frequency - Defense,0.243,0.219,0.02
1630389,Dana Evans,At Rim FG% - Defense,0.699,0.599,0.1
1630389,Dana Evans,Short Mid Range Shot Frequency - Defense,0.349,0.315,0.03
1630389,Dana Evans,Short Mid Range FG% - Defense,0.421,0.42,0
1630389,Dana Evans,Long Mid Range Shot Frequency - Defense,0.107,0.108,0
1630389,Dana Evans,Long Mid Range FG% - Defense,0.421,0.4,0.02
1630389,Dana Evans,Corner 3 Shot Frequency - Defense,0.054,0.064,-0.01
1630389,Dana Evans,Corner 3 FG% - Defense,0.394,0.404,-0.01
1630389,Dana Evans,Arc 3 Shot Frequency - Defense,0.248,0.294,-0.05
1630389,Dana Evans,Arc 3 FG% - Defense,0.258,0.323,-0.06
1630389,Dana Evans,Pace,93.074,94.261,-1.19
1630389,Dana Evans,Second Chance Efficiency,106.369,131.466,-25.1
1630389,Dana Evans,Penalty Efficiency,103.204,121.798,-18.59
1630389,Dana Evans,Second Chance Possessions Per 100 Possessions,10.425,12.021,-1.6
1630389,Dana Evans,First Chance Points Per 100 Possessions,89.774,96.166,-6.39
1630389,Dana Evans,Second Chance Points Per 100 Possessions,11.089,15.803,-4.71
1629498,Jackie Young,2pt FGM Assist%,0.588,0.453,0.14
1629498,Jackie Young,Non Putback 2pt FGM Assist%,0.63,0.48,0.15
1629498,Jackie Young,3pt FGM Assist%,0.895,0.842,0.05
1629498,Jackie Young,3pt FG%,0.364,0.316,0.05
