"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Chelsea Gray","LVA",44,1378,0.45392792553191486,0.5103626943005182,11.832558139534884,25.347928994082842,0.7465472191116088,0.9705113848450915,0.06735751295336788,0.7692307692307693,0.8,0.2,0.038461538461538464,1.5677491601343785,3.5834266517357225,0.24870466321243523,0.4375,0.4666666666666667,0.21428571428571427,0.0625,1.6424038820455393,3.471444568868981,0.24093264248704663,0.4731182795698925,0.4835164835164835,0.38636363636363635,0.021505376344086023,0.48525569242254574,1.0451661067562523,0.07253886010362694,0.4642857142857143,0.4642857142857143,0.9230769230769231,0,1.866368047779022,5.337812616648003,0.3704663212435233,0.34965034965034963,0.34965034965034963,0.92,0,50,143,0.34965034965034963,0,0
"Jackie Young","LVA",44,1336,0.478248691588785,0.5664845173041895,7.331076923076923,24.853125000000002,2.261402836335761,3.334610962054427,0.15846994535519127,0.6781609195402298,0.7283950617283951,0.423728813559322,0.06896551724137931,3.8712150249137602,7.397470295132234,0.35154826958105645,0.5233160621761658,0.543010752688172,0.37623762376237624,0.03626943005181347,0.7665772326561902,1.7247987734764278,0.08196721311475409,0.4444444444444444,0.4444444444444444,0.5,0,0.3832886163280951,1.0348792640858566,0.04918032786885246,0.37037037037037035,0.37037037037037035,1,0,2.6830203142966655,7.550785741663472,0.3588342440801457,0.3553299492385787,0.358974358974359,0.6285714285714286,0.01015228426395939,70,196,0.35714285714285715,1,0
"A'ja Wilson","LVA",40,1258,0.4477674491392801,0.2846270928462709,8.327759197324415,24.723728813559323,3.6061588330632093,5.186385737439222,0.1948249619482496,0.6953125,0.7416666666666667,0.6067415730337079,0.0625,7.13128038897893,15.032414910858995,0.5646879756468798,0.4743935309973046,0.5,0.7102272727272727,0.05121293800539083,1.7017828200972447,4.011345218800648,0.1506849315068493,0.42424242424242425,0.4375,0.8333333333333334,0.030303030303030304,0.1620745542949757,0.526742301458671,0.0197869101978691,0.3076923076923077,0.3076923076923077,1,0,0.8508914100486223,1.8638573743922204,0.0700152207001522,0.45652173913043476,0.45652173913043476,1,0,21,46,0.45652173913043476,0,0
"Jewell Loyd","LVA",44,1235,0.4925287589498807,0.7072599531615925,8.583030303030304,24.629007633587786,0.7407407407407407,1.646090534979424,0.0936768149882904,0.45,0.46153846153846156,0.6111111111111112,0.025,1.3580246913580247,3.45679012345679,0.19672131147540983,0.39285714285714285,0.4520547945205479,0.48484848484848486,0.13095238095238096,0.6172839506172839,1.6872427983539096,0.09601873536299765,0.36585365853658536,0.36585365853658536,0.6666666666666666,0,1.7695473251028806,4.032921810699588,0.22950819672131148,0.4387755102040816,0.4387755102040816,0.9767441860465116,0,2.345679012345679,6.748971193415638,0.3840749414519906,0.3475609756097561,0.3496932515337423,0.9298245614035088,0.006097560975609756,57,162,0.35185185185185186,2,0
"Dana Evans","LVA",44,777,0.4504698113207547,0.4854014598540146,9.109826589595375,25.274257425742572,0.796812749003984,2.1248339973439574,0.11678832116788321,0.375,0.41379310344827586,0.08333333333333333,0.09375,2.5232403718459495,6.839309428950863,0.3759124087591241,0.36893203883495146,0.40425531914893614,0.23684210526315788,0.08737864077669903,1.3280212483399734,2.5232403718459495,0.1386861313868613,0.5263157894736842,0.5405405405405406,0.35,0.02631578947368421,0.33200531208499334,1.3280212483399734,0.072992700729927,0.25,0.25,1,0,2.1248339973439574,5.378486055776892,0.2956204379562044,0.3950617283950617,0.4050632911392405,0.6875,0.024691358024691357,32,80,0.4,1,0
"Aaliyah Nye","LVA",44,671,0.5080728070175439,0.8070175438596491,6.430188679245283,24.453389830508474,0.677710843373494,1.5060240963855422,0.11695906432748537,0.45,0.5,0.5555555555555556,0.1,0.8283132530120482,2.183734939759036,0.1695906432748538,0.3793103448275862,0.4230769230769231,0.6363636363636364,0.10344827586206896,0.15060240963855423,0.30120481927710846,0.023391812865497075,0.5,0.5,1,0,1.1295180722891567,3.463855421686747,0.26900584795321636,0.32608695652173914,0.3488372093023256,1,0.06521739130434782,1.6566265060240963,5.421686746987952,0.42105263157894735,0.3055555555555556,0.3142857142857143,0.9545454545454546,0.027777777777777776,22,72,0.3055555555555556,0,0
"NaLyssa Smith","LVA",27,607,0.4839071895424837,0.475,6.406944444444445,24.375,3.3707865168539324,5.185825410544512,0.375,0.65,0.7222222222222222,0.7692307692307693,0.1,3.025064822817632,5.704407951598963,0.4125,0.5303030303030303,0.5737704918032787,0.9142857142857143,0.07575757575757576,0.7778738115816768,1.5557476231633536,0.1125,0.5,0.5,1,0,0.17286084701815038,0.5185825410544511,0.0375,0.3333333333333333,0.3333333333333333,1,0,0.34572169403630076,0.8643042350907519,0.0625,0.4,0.4,1,0,4,10,0.4,0,0
"Kiah Stokes","LVA",40,514,0.5386019607843137,0.7647058823529411,4.621428571428572,23.317391304347826,0.8,1.6,0.3137254901960784,0.5,0.5333333333333333,1,0.0625,0.7,0.9,0.17647058823529413,0.7777777777777778,0.875,1,0.1111111111111111,0,0.3,0.058823529411764705,0,0,0,0,0.3,2.2,0.43137254901960786,0.13636363636363635,0.13636363636363635,1,0,0,0.1,0.0196078431372549,0,0,0,0,0,1,0,0,0
"Kierstan Bell","LVA",35,422,0.5004783783783784,0.7647058823529411,8.32156862745098,25.506862745098037,1.346389228886169,1.8359853121175032,0.09803921568627451,0.7333333333333333,0.7857142857142857,0.6363636363636364,0.06666666666666667,0.7343941248470012,2.692778457772338,0.1437908496732026,0.2727272727272727,0.2857142857142857,0.6666666666666666,0.045454545454545456,0.6119951040391677,1.7135862913096696,0.0915032679738562,0.35714285714285715,0.35714285714285715,1,0,0.8567931456548348,2.570379436964504,0.13725490196078433,0.3333333333333333,0.3333333333333333,1,0,2.8151774785801713,9.914320685434516,0.5294117647058824,0.2839506172839506,0.2875,1,0.012345679012345678,23,80,0.2875,1,0
"Megan Gustafson","LVA",20,226,0.4976445454545455,0.7719298245614035,6.661111111111111,24.789473684210527,0.8810572687224669,1.1013215859030836,0.08771929824561403,0.8,0.8,0.75,0,0.6607929515418502,2.4229074889867843,0.19298245614035087,0.2727272727272727,0.2727272727272727,1,0,0,0.44052863436123346,0.03508771929824561,0,0,0,0,1.1013215859030836,2.643171806167401,0.21052631578947367,0.4166666666666667,0.4166666666666667,1,0,1.7621145374449338,5.947136563876652,0.47368421052631576,0.2962962962962963,0.2962962962962963,1,0,8,27,0.2962962962962963,0,0
"Tiffany Mitchell","LVA",16,210,0.4859829268292683,0.4878048780487805,6.3999999999999995,24.207692307692305,1.2019230769230769,1.6826923076923077,0.17073170731707318,0.7142857142857143,0.7142857142857143,0.4,0,1.4423076923076923,4.326923076923077,0.43902439024390244,0.3333333333333333,0.35294117647058826,0.3333333333333333,0.05555555555555555,0.2403846153846154,0.7211538461538461,0.07317073170731707,0.3333333333333333,0.3333333333333333,1,0,0.4807692307692308,1.9230769230769231,0.1951219512195122,0.25,0.25,1,0,0.4807692307692308,1.2019230769230769,0.12195121951219512,0.4,0.4,1,0,2,5,0.4,0,0
"Elizabeth Kitley","LVA",12,98,0.4712521739130435,0.391304347826087,6.159090909090909,24.6,2.1052631578947367,4.2105263157894735,0.34782608695652173,0.5,0.5714285714285714,0.5,0.125,1.5789473684210527,6.842105263157895,0.5652173913043478,0.23076923076923078,0.3,0.6666666666666666,0.23076923076923078,0,0.5263157894736842,0.043478260869565216,0,0,0,0,0,0,0,0,0,0,0,0,0.5263157894736842,0.043478260869565216,0,0,0,0,0,1,0,0,0
"Joyner Holmes","LVA",6,29,0.4689916666666667,0.5,9.771428571428572,25.4,0,1.8867924528301887,0.08333333333333333,0,0,0,0,3.7735849056603774,5.660377358490566,0.25,0.6666666666666666,0.6666666666666666,1,0,0,5.660377358490566,0.25,0,0,0,0,0,1.8867924528301887,0.08333333333333333,0,0,0,0,1.8867924528301887,7.547169811320755,0.3333333333333333,0.25,0.25,1,0,1,4,0.25,0,0
"Crystal Bradford","LVA",4,24,0.43911666666666666,0.5,5.2,25.25,2.2222222222222223,2.2222222222222223,0.16666666666666666,1,1,0,0,2.2222222222222223,6.666666666666667,0.5,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,2.2222222222222223,0.16666666666666666,0,0,0,0,0,2.2222222222222223,0.16666666666666666,0,0,0,0,0,1,0,0,0
"Cheyenne Parker-Tyus","LVA",2,14,0.4794,0.375,9.450000000000001,24.2,3.5714285714285716,3.5714285714285716,0.125,1,1,1,0,7.142857142857143,10.714285714285714,0.375,0.6666666666666666,0.6666666666666666,1,0,3.5714285714285716,7.142857142857143,0.25,0.5,0.5,1,0,0,0,0,0,0,0,0,3.5714285714285716,7.142857142857143,0.25,0.5,0.5,1,0,1,2,0.5,0,0