team,games,wins,losses,win_pct,off_efg_pct,off_ft_rate,off_tov_pct,off_oreb_pct,def_efg_pct,def_ft_rate,def_tov_pct,def_oreb_pct,ortg,drtg,net_rtg,pace,ts_pct,fg3_rate,fg3_pct,ast_rate,ppg,opp_ppg,point_diff,pct_pts_paint,pct_pts_3pt,pct_pts_ft,team_style,off_efg_pct_pctile,off_efg_pct_rank,off_ft_rate_pctile,off_ft_rate_rank,off_tov_pct_pctile,off_tov_pct_rank,off_oreb_pct_pctile,off_oreb_pct_rank,def_efg_pct_pctile,def_efg_pct_rank,ortg_pctile,ortg_rank,drtg_pctile,drtg_rank,net_rtg_pctile,net_rtg_rank,win_pct_pctile,win_pct_rank
Minnesota Lynx,45,34,11,0.7555555555555555,0.5388888888888889,0.23562091503267973,0.15479176553002058,0.2590847913862719,0.4813037723362012,0.228656518861681,0.1775943980366109,0.2601416613007083,108.63670259643415,97.01551347578412,11.62118912065003,78.81422222222221,0.5693998649785031,0.36993464052287583,0.3763250883392226,0.7235376044568245,85.46666666666667,76.6,8.866666666666667,0.4035361414456578,0.33229329173166927,0.14248569942797712,"Moderate-Pace, Elite-Both-Ways",1.0,1,0.15384615384615385,12,0.7692307692307692,4,0.6153846153846154,6,0.846153846153846,3,1.0,1,1.0,1,1.0,1,1.0,1
Las Vegas Aces,44,30,14,0.6818181818181818,0.5058823529411764,0.27327731092436974,0.14992632192179844,0.23498349834983498,0.4885799404170804,0.24362793776895067,0.1568085057942308,0.25466666666666665,105.09121231851776,101.08599139403044,4.005220924487318,79.72227272727274,0.5521015866919513,0.38252100840336134,0.351493848857645,0.6597701149425287,83.63636363636364,80.72727272727273,2.909090909090909,0.3826086956521739,0.32608695652173914,0.18206521739130435,Moderate-Pace,0.6153846153846154,6,0.6153846153846154,6,0.846153846153846,3,0.23076923076923078,11,0.6153846153846154,6,0.6923076923076923,5,0.4615384615384615,8,0.6923076923076923,5,0.8846153846153846,2
Atlanta Dream,44,30,14,0.6818181818181818,0.5139075067024129,0.27513404825737264,0.14321995570038618,0.2667578659370725,0.4779535509929317,0.23359138337260182,0.14592615618416052,0.20222513089005237,107.61791003235497,97.22653956412117,10.391370468233802,78.67727272727272,0.5548181894273655,0.41823056300268097,0.3373397435897436,0.7120181405895691,84.36363636363636,76.77272727272727,7.590909090909091,0.4375,0.3402478448275862,0.17376077586206898,"Moderate-Pace, 3PT-Heavy, Elite-Both-Ways",0.6923076923076923,5,0.6923076923076923,5,1.0,1,0.8461538461538461,3,0.9230769230769231,2,0.9230769230769231,2,0.9230769230769231,2,0.9230769230769231,2,0.8846153846153846,2
New York Liberty,44,27,17,0.6136363636363636,0.5260869565217391,0.28591304347826085,0.16145227174185894,0.2082748948106592,0.48261858349577647,0.24723846653671214,0.15617763016685304,0.2641392169049099,105.91383126811347,99.80682549903412,6.10700576907935,80.0740909090909,0.5735815712396654,0.41043478260869565,0.3550847457627119,0.7367613200306984,84.38636363636364,80.31818181818181,4.068181818181818,0.4082951791004579,0.33854026393751685,0.18529490977646107,"Moderate-Pace, 3PT-Heavy, Offense-First",0.9230769230769231,2,0.8461538461538461,3,0.4615384615384615,8,0.15384615384615385,12,0.7692307692307692,4,0.8461538461538461,3,0.6153846153846154,6,0.8461538461538461,3,0.7307692307692307,4
Phoenix Mercury,44,27,17,0.6136363636363636,0.5019880715705766,0.2591119946984758,0.15604291038435833,0.24393358876117496,0.4857385398981324,0.2804753820033956,0.17167309383668222,0.24454725710508923,103.16956851728082,99.36743116162641,3.802137355654409,80.43772727272727,0.5417777090372626,0.403247183565275,0.3401807723911257,0.7041284403669725,82.79545454545455,80.11363636363636,2.6818181818181817,0.41449354927257753,0.34092780675267637,0.1682679110623113,"Moderate-Pace, 3PT-Heavy",0.46153846153846156,8,0.38461538461538464,9,0.6153846153846154,6,0.5384615384615384,7,0.6923076923076923,5,0.5384615384615384,7,0.6923076923076923,5,0.6153846153846154,6,0.7307692307692307,4
Indiana Fever,45,25,20,0.5555555555555556,0.5160297927461139,0.2600388601036269,0.15988645024466216,0.2637144745538665,0.5008460236886633,0.29475465313028765,0.17623141007226042,0.24267211997273347,105.15502634398506,100.68393255695756,4.471093787027499,80.46177777777777,0.5532760684853486,0.3481217616580311,0.3469767441860465,0.658137882018479,84.62222222222222,81.0,3.6222222222222222,0.4737394957983193,0.29385504201680673,0.16307773109243698,Moderate-Pace,0.7692307692307693,4,0.46153846153846156,8,0.5384615384615385,7,0.7692307692307693,4,0.4615384615384615,8,0.7692307692307693,4,0.5384615384615385,7,0.7692307692307693,4,0.6153846153846154,6
Seattle Storm,44,23,21,0.5227272727272727,0.5045992115637319,0.230946123521682,0.143486123122887,0.19947333772218565,0.49673202614379086,0.27588579291365667,0.18484705033700774,0.2575438596491228,101.47922680354475,99.29893374811208,2.1802930554326707,80.79772727272727,0.5388689418248184,0.31898817345597896,0.3419155509783728,0.6846715328467153,82.13636363636364,80.0909090909091,2.0454545454545454,0.47537354731599335,0.2755949086884339,0.14997232982844494,"Moderate-Pace, Paint-Focused",0.5384615384615384,7,0.07692307692307693,13,0.9230769230769231,2,0.07692307692307693,13,0.5384615384615385,7,0.46153846153846156,8,0.7692307692307692,4,0.5384615384615384,7,0.5,7
Golden State Valkyries,44,23,21,0.5227272727272727,0.4815137774677363,0.2821764911056854,0.16622809078520745,0.25963488843813387,0.4717143842704381,0.2738875474301483,0.1540107454825474,0.24025974025974026,100.44170856632677,98.72559047249555,1.7161180938312128,77.3559090909091,0.5305681733561695,0.45831880013951865,0.3249619482496195,0.6983718937446444,77.72727272727273,76.3409090909091,1.3863636363636365,0.3695906432748538,0.37456140350877193,0.19269005847953216,"Slow-Paced, 3PT-Heavy, Defense-First",0.3076923076923077,10,0.7692307692307693,4,0.30769230769230765,10,0.6923076923076923,5,1.0,1,0.38461538461538464,9,0.846153846153846,3,0.46153846153846156,8,0.5,7
Los Angeles Sparks,44,21,23,0.4772727272727273,0.5213414634146342,0.30420054200542007,0.17191248493692857,0.24123711340206186,0.5243941326530612,0.2305484693877551,0.1535000221660682,0.2638888888888889,104.17012149956331,107.56084585716185,-3.3907243575985433,82.12772727272727,0.5630213437223643,0.3817750677506775,0.33717834960070986,0.6753150481838399,85.6590909090909,88.22727272727273,-2.5681818181818183,0.4844786415494826,0.30246749801008227,0.18333775537277794,Fast-Paced,0.8461538461538461,3,0.9230769230769231,2,0.23076923076923078,11,0.38461538461538464,9,0.23076923076923078,11,0.6153846153846154,6,0.30769230769230765,10,0.38461538461538464,9,0.38461538461538464,9
Washington Mystics,44,16,28,0.36363636363636365,0.48339878614780435,0.32488397001071045,0.17940046999484152,0.23521224773834376,0.5049913941480206,0.28330464716006887,0.15663837439721431,0.22407794015309673,97.26600561701152,102.77424601674628,-5.50824039973476,79.33545454545455,0.5300805897419879,0.26918957515173153,0.32891246684350134,0.6878048780487804,77.13636363636364,81.56818181818181,-4.431818181818182,0.48438420742486743,0.21921037124337064,0.20212139068945198,"Moderate-Pace, Paint-Focused",0.38461538461538464,9,1.0,1,0.1538461538461538,12,0.3076923076923077,10,0.38461538461538464,9,0.23076923076923078,11,0.38461538461538464,9,0.3076923076923077,10,0.3076923076923077,10
Connecticut Sun,44,11,33,0.25,0.457641477465266,0.27177228058285324,0.16462760493939876,0.24352331606217617,0.5298818624044476,0.3220986796386379,0.17077245214366626,0.27388535031847133,95.21010705074067,108.18449145851687,-12.9743844077762,79.55409090909092,0.5050122885819097,0.30362588952897324,0.30245535714285715,0.6296296296296297,75.8409090909091,85.95454545454545,-10.113636363636363,0.4201378483667965,0.2436320047947258,0.19059035061432425,"Moderate-Pace, Paint-Focused",0.07692307692307693,13,0.5384615384615384,7,0.38461538461538464,9,0.46153846153846156,8,0.1538461538461538,12,0.07692307692307693,13,0.23076923076923078,11,0.07692307692307693,13,0.23076923076923078,11
Dallas Wings,44,10,34,0.22727272727272727,0.4685014317531021,0.25739739102768056,0.15552658040420336,0.2757330006238303,0.5311330384484518,0.32562095951003744,0.15650111826651833,0.24304141208418195,99.2828650040332,108.76406262292502,-9.481197618891827,81.58,0.5135811784072981,0.30225898822780783,0.3042105263157895,0.6686746987951807,81.68181818181819,87.97727272727273,-6.295454545454546,0.46355036171396774,0.24123539232053423,0.18057874234835838,"Moderate-Pace, Paint-Focused",0.15384615384615385,12,0.23076923076923078,11,0.6923076923076923,5,0.9230769230769231,2,0.07692307692307693,13,0.3076923076923077,10,0.07692307692307693,13,0.23076923076923078,11,0.11538461538461539,12
Chicago Sky,44,10,34,0.22727272727272727,0.4755425421977265,0.25904236996210817,0.19587711650529985,0.2905405405405405,0.5211314475873544,0.2795341098169717,0.14003910743041179,0.25346534653465347,95.6442435644473,108.60938578329883,-12.96514221885154,79.14181818181818,0.5156344700483629,0.30623492938339647,0.3295838020247469,0.6888168557536467,75.79545454545455,85.8409090909091,-10.045454545454545,0.4689655172413793,0.263568215892054,0.17211394302848576,"Moderate-Pace, Paint-Focused",0.23076923076923078,11,0.3076923076923077,10,0.07692307692307693,13,1.0,1,0.30769230769230765,10,0.15384615384615385,12,0.1538461538461538,12,0.15384615384615385,12,0.11538461538461539,12
