season,season_type,stat_type,Team,GP,Possessions,Pts,FG2M,FG2A,2pt FG%,FG3M,FG3A,3pt FG%,Non-Heave 3pt FG%,FT Pts,AST2 Pts,UAST2 2s Pts,AST3 Pts,UAST3 Pts,2pt AST%,Non Putback 2pt AST%,3pt AST%,3PAr,Shot Quality,eFG%,TS%,PUT,FG2AB,% of FG2AB,FG3AB,% of FG3AB,Rim or 3 Freq,Avg 2pt Shot Distance,Avg 3pt Shot Distance,Rim FGM,Rim FGA,Rim Freq,Rim FG%,Unblocked Rim FG%,Rim %AST,% of Rim FGAB,SMR FGM,SMR FGA,SMR Freq,SMR FG%,Unblocked SMR FG%,SMR %AST,% of SMR FGAB,LMR FGM,LMR FGA,LMR Freq,LMR FG%,Unblocked LMR FG%,LMR %AST,% of LMR FGAB,C3 FGM,C3 FGA,C3 Freq,C3 FG%,Unblocked C3 FG%,C3 %AST,% of C3 FGAB,AB3 FGM,AB3 FGA,AB3 Freq,AB3 FG%,Unblocked AB3 FG%,AB3 %AST,% of AB3 FGAB,Non-Heave AB3 FGM,Non-Heave AB3 FGA,Non-Heave AB3 FG%,Heaves,Heaves Made
2025,regular season,totals,ATL,44,3379,3712,902,1736,51.96%,421,1248,33.73%,34.14%,645,1132,672,1128,135,62.75%,67.78%,89.31%,41.82%,0.52,51.39%,55.34%,134,150,8.64%,8,0.64%,73.16%,5.56,25.12,574,935,31.33%,61.39%,67.37%,66.03%,8.88%,271,635,21.28%,42.68%,47.46%,56.83%,10.08%,57,166,5.56%,34.34%,34.97%,57.89%,1.81%,82,225,7.54%,36.44%,36.61%,95.12%,0.44%,339,1023,34.28%,33.14%,33.37%,87.91%,0.68%,339,1008,33.63%,15,0
2025,regular season,totals,MIN,44,3414,3787,992,1881,52.74%,422,1116,37.81%,38.05%,537,1278,706,1161,105,64.42%,68.49%,91.71%,37.24%,0.5,54.22%,57.13%,118,116,6.17%,8,0.72%,63.60%,8.03,24.65,540,790,26.36%,68.35%,74.07%,68.52%,7.72%,264,623,20.79%,42.38%,45.91%,64.02%,7.70%,188,468,15.62%,40.17%,40.78%,53.19%,1.50%,100,226,7.54%,44.25%,44.64%,99.00%,0.88%,322,890,29.70%,36.18%,36.43%,89.44%,0.67%,322,883,36.47%,7,0
2025,regular season,totals,WAS,44,3427,3394,982,2047,47.97%,248,754,32.89%,33.16%,686,1242,722,672,72,63.24%,68.24%,90.32%,26.92%,0.49,48.34%,52.92%,144,169,8.26%,4,0.53%,58.12%,7.07,25.15,563,874,31.20%,64.42%,70.11%,63.94%,8.12%,292,817,29.17%,35.74%,40.22%,56.51%,11.14%,127,356,12.71%,35.67%,36.39%,75.59%,1.97%,60,183,6.53%,32.79%,32.97%,96.67%,0.55%,188,571,20.39%,32.92%,33.10%,88.30%,0.53%,188,565,33.27%,6,0
2025,regular season,totals,CON,44,3434,3337,944,2055,45.94%,271,896,30.25%,30.55%,636,1110,778,630,183,58.79%,64.31%,77.49%,30.36%,0.49,45.76%,50.24%,162,159,7.74%,9,1.00%,56.76%,8.04,25.32,474,779,26.40%,60.85%,67.14%,56.33%,9.37%,274,785,26.60%,34.90%,38.98%,58.03%,10.45%,196,491,16.64%,39.92%,40.25%,65.82%,0.81%,64,179,6.07%,35.75%,36.16%,93.75%,1.12%,207,717,24.30%,28.87%,29.15%,72.46%,0.98%,207,708,29.24%,9,0
2025,regular season,totals,SEA,44,3468,3614,1038,2073,50.07%,332,971,34.19%,34.44%,542,1282,794,891,105,61.75%,65.14%,89.46%,31.90%,0.49,50.46%,53.77%,108,176,8.49%,10,1.03%,58.18%,7.61,24.76,535,800,26.28%,66.88%,73.49%,62.06%,9.00%,359,897,29.47%,40.02%,44.71%,62.95%,10.48%,144,376,12.35%,38.30%,39.34%,57.64%,2.66%,79,213,7.00%,37.09%,37.26%,100.00%,0.47%,253,758,24.90%,33.38%,33.78%,86.17%,1.19%,253,751,33.69%,7,0
2025,regular season,totals,LAS,44,3532,3769,969,1825,53.10%,380,1127,33.72%,33.99%,691,1176,762,969,171,60.68%,66.14%,85.00%,38.18%,0.52,52.13%,56.18%,160,202,11.07%,5,0.44%,73.14%,4.88,24.79,691,1032,34.96%,66.96%,74.30%,63.39%,9.88%,241,678,22.97%,35.55%,41.62%,54.36%,14.60%,37,115,3.90%,32.17%,32.46%,51.35%,0.87%,97,277,9.38%,35.02%,35.27%,94.85%,0.72%,283,850,28.79%,33.29%,33.41%,81.63%,0.35%,283,841,33.65%,9,0
2025,regular season,totals,IND,44,3481,3734,1015,1969,51.55%,365,1056,34.56%,34.73%,609,1198,832,921,174,59.01%,64.62%,84.11%,34.91%,0.51,51.65%,55.16%,176,165,8.38%,8,0.76%,68.10%,6.29,25.15,617,1004,33.19%,61.45%,67.58%,57.05%,9.06%,290,672,22.21%,43.15%,48.01%,59.31%,10.12%,108,293,9.69%,36.86%,37.63%,69.44%,2.05%,92,232,7.67%,39.66%,40.35%,100.00%,1.72%,273,824,27.24%,33.13%,33.29%,78.75%,0.49%,273,819,33.33%,5,0
2025,regular season,totals,LVA,44,3436,3680,905,1837,49.27%,400,1138,35.15%,35.30%,670,1016,794,1059,141,56.13%,59.98%,88.25%,38.25%,0.47,50.59%,55.20%,116,102,5.55%,11,0.97%,53.28%,8.33,24.88,280,447,15.03%,62.64%,67.15%,54.64%,6.71%,466,1024,34.42%,45.51%,48.64%,55.36%,6.45%,159,366,12.30%,43.44%,44.17%,61.01%,1.64%,109,303,10.18%,35.97%,36.33%,98.17%,0.99%,291,835,28.07%,34.85%,35.19%,84.54%,0.96%,291,830,35.06%,5,0
2025,regular season,totals,DAL,44,3502,3594,1039,2193,47.38%,289,950,30.42%,30.68%,649,1254,824,783,84,60.35%,63.91%,90.31%,30.23%,0.48,46.85%,51.36%,116,194,8.85%,13,1.37%,55.46%,7.8,25.15,477,793,25.23%,60.15%,68.63%,63.94%,12.36%,399,965,30.70%,41.35%,45.60%,56.64%,9.33%,163,435,13.84%,37.47%,38.00%,58.90%,1.38%,57,168,5.35%,33.93%,34.13%,100.00%,0.60%,232,782,24.88%,29.67%,30.13%,87.93%,1.53%,232,774,29.97%,8,0
2025,regular season,totals,PHX,44,3472,3643,894,1801,49.64%,414,1217,34.02%,34.30%,613,1094,694,1122,120,61.19%,65.43%,90.34%,40.32%,0.5,50.20%,54.09%,116,147,8.16%,21,1.73%,65.71%,6.8,25.11,468,766,25.38%,61.10%,67.05%,61.32%,8.88%,319,758,25.12%,42.08%,46.43%,57.05%,9.37%,107,277,9.18%,38.63%,39.78%,72.90%,2.89%,112,281,9.31%,39.86%,41.03%,95.54%,2.85%,302,936,31.01%,32.26%,32.72%,88.41%,1.39%,302,926,32.61%,10,0
2025,regular season,totals,GSV,44,3319,3420,740,1553,47.65%,427,1314,32.50%,32.75%,659,864,616,1149,132,58.38%,62.43%,89.70%,45.83%,0.49,48.15%,52.92%,96,160,10.30%,22,1.67%,65.05%,7.09,25.11,339,551,19.22%,61.52%,67.80%,57.52%,9.26%,320,763,26.61%,41.94%,48.48%,54.69%,13.50%,81,239,8.34%,33.89%,34.76%,76.54%,2.51%,102,321,11.20%,31.78%,32.28%,98.04%,1.56%,325,993,34.64%,32.73%,33.30%,87.08%,1.71%,325,983,33.06%,10,0
2025,regular season,totals,NYL,44,3467,3713,884,1695,52.15%,419,1180,35.51%,35.78%,688,1186,582,1101,156,67.08%,71.02%,87.59%,41.04%,0.5,52.61%,57.20%,98,131,7.73%,13,1.10%,65.70%,6.55,25.13,488,709,24.66%,68.83%,74.39%,67.62%,7.48%,294,755,26.26%,38.94%,43.11%,68.03%,9.67%,102,231,8.03%,44.16%,45.13%,61.76%,2.16%,101,267,9.29%,37.83%,38.26%,97.03%,1.12%,318,913,31.76%,34.83%,35.22%,84.59%,1.10%,318,904,35.18%,9,0
2025,regular season,totals,CHI,44,3393,3335,941,2014,46.72%,293,889,32.96%,33.11%,574,1190,692,768,111,63.23%,69.67%,87.37%,30.62%,0.5,47.55%,51.35%,174,229,11.37%,14,1.57%,63.24%,6.54,24.93,523,947,32.62%,55.23%,64.49%,67.30%,14.36%,294,748,25.77%,39.30%,44.48%,58.16%,11.63%,124,319,10.99%,38.87%,39.62%,58.06%,1.88%,56,160,5.51%,35.00%,35.44%,92.86%,1.25%,237,729,25.11%,32.51%,33.05%,86.08%,1.65%,237,725,32.69%,4,0
2024,regular season,totals,WAS,40,3201,3172,772,1617,47.74%,389,1064,36.56%,36.80%,461,984,560,1113,54,63.73%,67.12%,95.37%,39.69%,0.5,50.56%,53.79%,78,132,8.16%,3,0.28%,65.01%,7.38,25.11,445,679,25.33%,65.54%,70.52%,64.72%,7.07%,198,609,22.72%,32.51%,37.29%,58.59%,12.81%,129,329,12.27%,39.21%,39.94%,68.22%,1.82%,101,222,8.28%,45.50%,45.50%,100.00%,0.00%,288,842,31.41%,34.20%,34.33%,93.75%,0.36%,288,835,34.49%,7,0
2024,regular season,totals,IND,40,3219,3399,882,1707,51.67%,368,1034,35.59%,35.76%,531,1062,702,855,249,60.20%,65.56%,77.45%,37.72%,0.52,52.32%,55.71%,144,146,8.55%,5,0.48%,71.11%,6.25,25.68,563,915,33.38%,61.53%,68.49%,59.15%,10.16%,215,506,18.46%,42.49%,47.25%,63.26%,10.08%,104,286,10.43%,36.36%,36.62%,59.62%,0.70%,79,212,7.73%,37.26%,37.26%,92.41%,0.00%,289,822,29.99%,35.16%,35.37%,73.36%,0.61%,289,817,35.37%,5,0
2024,regular season,totals,CON,40,3080,3204,935,1918,48.75%,235,719,32.68%,33.01%,629,1188,682,606,99,63.53%,68.91%,85.96%,27.27%,0.51,48.82%,53.23%,146,174,9.07%,9,1.25%,61.66%,6.82,25.46,557,907,34.40%,61.41%,67.11%,59.61%,8.49%,236,642,24.35%,36.76%,42.52%,68.22%,13.55%,142,369,13.99%,38.48%,39.55%,71.13%,2.71%,43,146,5.54%,29.45%,29.45%,97.67%,0.00%,192,573,21.73%,33.51%,34.04%,83.33%,1.57%,192,566,33.92%,7,0
2024,regular season,totals,MIN,40,3149,3279,825,1692,48.76%,380,1000,38.00%,38.31%,489,1102,548,1110,30,66.79%,70.55%,97.37%,37.15%,0.5,51.82%,55.27%,88,136,8.04%,10,1.00%,61.07%,8.77,24.67,395,644,23.92%,61.34%,68.70%,69.87%,10.71%,201,542,20.13%,37.08%,41.53%,67.16%,10.70%,229,506,18.80%,45.26%,46.08%,61.14%,1.78%,103,238,8.84%,43.28%,43.64%,99.03%,0.84%,277,762,28.31%,36.35%,36.74%,96.75%,1.05%,277,754,36.74%,8,0
2024,regular season,totals,SEA,40,3216,3329,1000,2012,49.70%,242,840,28.81%,29.12%,603,1232,768,630,96,61.60%,66.96%,86.78%,29.45%,0.5,47.79%,52.36%,160,178,8.85%,5,0.60%,55.61%,7.7,25.06,500,746,26.16%,67.02%,72.67%,63.60%,7.77%,353,886,31.07%,39.84%,45.67%,60.91%,12.75%,147,380,13.32%,38.68%,39.41%,56.46%,1.84%,50,165,5.79%,30.30%,30.49%,96.00%,0.61%,192,675,23.67%,28.44%,28.61%,84.38%,0.59%,192,666,28.83%,9,0
2024,regular season,totals,NYL,40,3165,3424,825,1587,51.98%,405,1160,34.91%,34.97%,559,1084,566,1107,108,65.70%,69.58%,91.11%,42.23%,0.51,52.15%,55.86%,92,116,7.31%,11,0.95%,65.71%,6.97,24.91,451,645,23.48%,69.92%,75.54%,67.18%,7.44%,301,718,26.14%,41.92%,45.95%,63.12%,8.77%,73,224,8.15%,32.59%,33.33%,67.12%,2.23%,105,259,9.43%,40.54%,40.86%,97.14%,0.77%,300,901,32.80%,33.30%,33.63%,89.00%,1.00%,300,899,33.37%,2,0
2024,regular season,totals,DAL,40,3244,3368,1016,2074,48.99%,250,767,32.59%,32.81%,586,1248,784,579,171,61.42%,69.49%,77.20%,27.00%,0.5,48.96%,53.02%,236,172,8.29%,9,1.17%,58.32%,7.57,24.97,570,890,31.33%,64.04%,71.07%,62.11%,9.89%,285,758,26.68%,37.60%,41.97%,59.30%,10.42%,161,426,14.99%,37.79%,38.24%,62.73%,1.17%,42,137,4.82%,30.66%,31.34%,97.62%,2.19%,208,630,22.18%,33.02%,33.33%,73.08%,0.95%,208,625,33.28%,5,0
2024,regular season,totals,LAS,40,3194,3136,835,1753,47.63%,289,902,32.04%,32.22%,599,1038,632,804,63,62.16%,66.88%,92.73%,33.97%,0.5,47.78%,51.99%,118,195,11.12%,9,1.00%,65.12%,6.51,25.07,518,827,31.15%,62.64%,70.19%,62.74%,10.76%,241,664,25.01%,36.30%,42.65%,60.58%,14.91%,76,262,9.87%,29.01%,29.80%,63.16%,2.67%,53,176,6.63%,30.11%,30.81%,94.34%,2.27%,236,726,27.34%,32.51%,32.73%,92.37%,0.69%,236,721,32.73%,5,0
2023,regular season,totals,CON,40,3153,3307,919,1912,48.06%,287,798,35.96%,36.28%,608,1138,700,771,90,61.92%,65.93%,89.55%,29.45%,0.51,49.80%,53.94%,112,180,9.41%,5,0.63%,64.13%,6.76,25.06,581,940,34.69%,61.81%,68.92%,62.65%,10.32%,218,615,22.69%,35.45%,40.30%,56.88%,12.03%,120,357,13.17%,33.61%,34.48%,67.50%,2.52%,75,197,7.27%,38.07%,38.27%,98.67%,0.51%,212,601,22.18%,35.27%,35.51%,86.32%,0.67%,212,594,35.69%,7,0
2023,regular season,totals,IND,40,3147,3240,938,1939,48.38%,269,791,34.01%,34.22%,557,984,892,684,123,52.45%,57.61%,84.76%,28.97%,0.5,49.14%,53.00%,168,161,8.30%,8,1.01%,62.05%,7.21,25.16,536,903,33.08%,59.36%,65.93%,51.12%,9.97%,243,595,21.79%,40.84%,45.85%,47.33%,10.92%,159,441,16.15%,36.05%,36.55%,64.78%,1.36%,56,166,6.08%,33.73%,34.15%,96.43%,1.20%,213,625,22.89%,34.08%,34.41%,81.69%,0.96%,213,620,34.35%,5,0
2023,regular season,totals,CHI,40,3193,3269,899,1895,47.44%,330,888,37.16%,37.20%,481,1044,754,888,102,58.06%,61.70%,89.70%,31.91%,0.5,50.09%,53.21%,106,132,6.97%,12,1.35%,59.11%,8.47,24.66,454,757,27.20%,59.97%,65.51%,64.98%,8.45%,258,617,22.17%,41.82%,46.15%,55.43%,9.40%,187,521,18.72%,35.89%,36.59%,44.92%,1.92%,80,180,6.47%,44.44%,45.20%,97.50%,1.67%,250,708,25.44%,35.31%,35.77%,87.20%,1.27%,250,707,35.36%,1,0
2023,regular season,totals,WAS,40,3179,3221,846,1776,47.64%,310,923,33.59%,33.88%,599,950,742,879,51,56.15%,60.51%,94.52%,34.20%,0.49,48.57%,53.26%,122,109,6.14%,8,0.87%,58.06%,8.27,25.1,411,644,23.86%,63.82%,68.39%,57.91%,6.68%,278,698,25.86%,39.83%,43.57%,51.08%,8.60%,157,434,16.08%,36.18%,36.68%,60.51%,1.38%,82,203,7.52%,40.39%,41.00%,97.56%,1.48%,228,720,26.68%,31.67%,31.89%,93.42%,0.69%,228,712,32.02%,8,0
2023,regular season,totals,PHO,40,3108,3064,865,1731,49.97%,271,827,32.77%,32.93%,521,1040,690,729,84,60.12%,64.04%,89.67%,32.33%,0.49,49.71%,53.92%,106,138,7.97%,19,2.30%,56.29%,7.78,24.62,401,613,23.96%,65.42%,71.86%,61.10%,8.97%,337,778,30.41%,43.32%,48.01%,59.64%,9.77%,127,340,13.29%,37.35%,38.14%,58.27%,2.06%,69,195,7.62%,35.38%,36.70%,98.55%,3.59%,202,632,24.71%,31.96%,32.58%,86.63%,1.90%,202,628,32.17%,4,0
2023,regular season,totals,NYL,40,3205,3569,842,1610,52.30%,444,1187,37.41%,37.66%,553,1124,560,1209,123,66.75%,71.96%,90.77%,42.44%,0.51,53.91%,57.75%,122,130,8.07%,9,0.76%,70.61%,6.83,24.82,524,788,28.17%,66.50%,74.01%,68.32%,10.15%,226,555,19.84%,40.72%,44.49%,62.83%,8.47%,92,267,9.55%,34.46%,34.85%,67.39%,1.12%,118,319,11.41%,36.99%,37.22%,99.15%,0.63%,326,868,31.03%,37.56%,37.86%,87.73%,0.81%,326,860,37.91%,8,0
2023,regular season,totals,ATL,40,3269,3301,919,1982,46.37%,257,766,33.55%,34.04%,692,1030,808,684,87,56.04%,61.09%,88.72%,27.87%,0.5,47.47%,52.54%,152,166,8.38%,8,1.04%,56.59%,7.66,24.93,471,789,28.71%,59.70%,64.97%,52.44%,8.11%,285,779,28.35%,36.59%,41.48%,56.14%,11.81%,163,414,15.07%,39.37%,40.35%,66.26%,2.42%,38,148,5.39%,25.68%,25.85%,97.37%,0.68%,219,618,22.49%,35.44%,35.84%,87.21%,1.13%,219,607,36.08%,11,0
2024,regular season,totals,PHO,39,3089,3159,792,1560,50.77%,333,1021,32.62%,32.91%,576,962,622,861,138,60.73%,63.29%,86.19%,39.56%,0.5,50.04%,54.46%,64,115,7.37%,16,1.57%,63.58%,7.57,24.96,413,620,24.02%,66.61%,71.95%,60.53%,7.42%,257,622,24.10%,41.32%,45.81%,67.32%,9.81%,122,318,12.32%,38.36%,39.35%,47.54%,2.52%,67,205,7.94%,32.68%,33.50%,97.01%,2.44%,266,816,31.62%,32.60%,33.04%,83.46%,1.35%,266,807,32.96%,9,0
2024,regular season,totals,LVA,39,3125,3352,840,1628,51.60%,363,1028,35.31%,35.41%,583,988,692,927,162,58.81%,61.52%,85.12%,38.70%,0.49,52.13%,56.36%,74,132,8.11%,6,0.58%,56.85%,7.95,24.86,313,482,18.15%,64.94%,71.14%,57.51%,8.71%,378,810,30.50%,46.67%,52.14%,57.14%,10.49%,149,336,12.65%,44.35%,45.02%,65.77%,1.49%,97,266,10.02%,36.47%,36.88%,96.91%,1.13%,266,762,28.69%,34.91%,35.05%,80.83%,0.39%,266,759,35.05%,3,0
2024,regular season,totals,CHI,40,3147,3096,995,2217,44.88%,193,596,32.38%,32.38%,527,1206,784,468,111,60.60%,66.78%,80.83%,21.19%,0.51,45.66%,49.44%,184,221,9.97%,10,1.68%,57.45%,7.04,24.61,571,1020,36.26%,55.98%,63.73%,59.89%,12.16%,278,772,27.44%,36.01%,41.06%,58.27%,12.31%,146,425,15.11%,34.35%,34.52%,67.81%,0.47%,40,127,4.51%,31.50%,32.52%,85.00%,3.15%,153,469,16.67%,32.62%,33.05%,79.74%,1.28%,153,469,32.62%,0,0
2024,regular season,totals,ATL,40,3141,3080,873,1948,44.82%,239,775,30.84%,31.24%,617,1044,702,639,78,59.79%,66.08%,89.12%,28.46%,0.5,45.23%,49.90%,166,160,8.21%,4,0.52%,57.51%,8,24.87,461,791,29.05%,58.28%,64.57%,59.00%,9.73%,235,703,25.82%,33.43%,37.42%,58.30%,10.67%,177,454,16.67%,38.99%,39.69%,63.84%,1.76%,55,181,6.65%,30.39%,30.73%,94.55%,1.10%,184,594,21.81%,30.98%,31.08%,87.50%,0.34%,184,584,31.51%,10,0
2023,regular season,totals,MIN,40,3167,3206,904,1869,48.37%,270,832,32.45%,32.77%,588,1074,734,717,93,59.40%,63.70%,88.52%,30.80%,0.5,48.46%,52.91%,122,161,8.61%,9,1.08%,59.05%,7.86,24.85,466,763,28.25%,61.07%,67.44%,60.94%,9.44%,284,685,25.36%,41.46%,46.79%,58.45%,11.39%,154,421,15.59%,36.58%,37.56%,56.49%,2.61%,56,149,5.52%,37.58%,37.58%,96.43%,0.00%,214,683,25.29%,31.33%,31.75%,86.45%,1.32%,214,675,31.70%,8,0
2023,regular season,totals,DAL,40,3231,3514,1025,2073,49.45%,270,853,31.65%,32.07%,654,1200,850,639,171,58.54%,66.30%,78.89%,29.15%,0.5,48.87%,53.38%,240,139,6.71%,8,0.94%,60.90%,7.19,25.15,595,929,31.75%,64.05%,69.03%,61.34%,7.21%,287,757,25.87%,37.91%,41.59%,54.01%,8.85%,143,387,13.23%,36.95%,37.43%,55.94%,1.29%,46,126,4.31%,36.51%,37.10%,93.48%,1.59%,224,727,24.85%,30.81%,31.07%,75.89%,0.83%,224,716,31.28%,11,0
2023,regular season,totals,LVA,40,3247,3712,973,1771,54.94%,371,996,37.25%,37.29%,653,1124,822,918,195,57.76%,60.37%,82.48%,36.00%,0.5,55.28%,59.74%,84,113,6.38%,2,0.20%,56.88%,7.75,24.71,401,578,20.89%,69.38%,74.40%,59.85%,6.75%,415,842,30.43%,49.29%,53.76%,57.83%,8.31%,157,351,12.69%,44.73%,45.24%,52.23%,1.14%,95,257,9.29%,36.96%,37.11%,96.84%,0.39%,276,739,26.71%,37.35%,37.40%,77.54%,0.14%,276,738,37.40%,1,0
2023,regular season,totals,LAS,40,3175,3156,876,1892,46.30%,260,780,33.33%,33.55%,624,1056,696,696,84,60.27%,64.39%,89.23%,29.19%,0.49,47.38%,52.33%,112,190,10.04%,5,0.64%,59.62%,7.09,24.81,511,813,30.43%,62.85%,69.81%,59.69%,9.96%,262,758,28.37%,34.56%,39.46%,57.63%,12.40%,103,321,12.01%,32.09%,33.66%,69.90%,4.67%,57,143,5.35%,39.86%,39.86%,98.25%,0.00%,203,637,23.84%,31.87%,32.12%,86.70%,0.78%,203,632,32.12%,5,0
2023,regular season,totals,SEA,40,3204,3153,774,1750,44.23%,340,967,35.16%,35.53%,585,866,682,819,201,55.94%,60.47%,80.29%,35.59%,0.49,47.26%,51.63%,116,147,8.40%,14,1.45%,62.05%,7.75,24.93,441,719,26.46%,61.34%,68.58%,58.05%,10.57%,225,680,25.03%,33.09%,36.82%,51.11%,10.15%,108,351,12.92%,30.77%,30.95%,57.41%,0.57%,71,177,6.51%,40.11%,40.80%,98.59%,1.69%,269,790,29.08%,34.05%,34.53%,75.46%,1.39%,269,780,34.49%,10,0